Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,TyreLifeAtEnd,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2022,14,ALB,MEDIUM,1.0,11.0,10.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,ALO,MEDIUM,1.0,12.0,11.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,BOT,SOFT,1.0,3.0,2.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,GAS,MEDIUM,1.0,11.0,10.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,HAM,MEDIUM,1.0,2.0,1.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,LAT,MEDIUM,1.0,4.0,3.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,LEC,SOFT,1.0,4.0,3.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,MAG,MEDIUM,1.0,12.0,11.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,MSC,MEDIUM,1.0,15.0,14.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,NOR,MEDIUM,1.0,14.0,13.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,OCO,MEDIUM,1.0,13.0,12.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,PER,MEDIUM,1.0,15.0,14.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,RIC,MEDIUM,1.0,13.0,12.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,RUS,MEDIUM,1.0,14.0,13.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,SAI,SOFT,3.0,14.0,11.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,STR,MEDIUM,2.0,17.0,15.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,TSU,HARD,1.0,19.0,18.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,VER,SOFT,1.0,16.0,15.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,VET,MEDIUM,2.0,16.0,14.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,14,ZHO,MEDIUM,1.0,15.0,14.0,21.78717948717949,40.51923076923077,971.0519230769229,0.0,36.08397435897436,-52.26837348685351,1.5192307692307692
2022,15,ALB,MEDIUM,1.0,22.0,21.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,ALO,SOFT,1.0,13.0,12.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,BOT,SOFT,1.0,17.0,16.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,GAS,SOFT,4.0,15.0,11.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,HAM,MEDIUM,1.0,30.0,29.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,LAT,SOFT,1.0,14.0,13.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,LEC,SOFT,4.0,21.0,17.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,MAG,MEDIUM,1.0,15.0,14.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,MSC,MEDIUM,1.0,14.0,13.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,NOR,MEDIUM,1.0,18.0,17.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,OCO,SOFT,1.0,19.0,18.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,PER,SOFT,6.0,20.0,14.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
2022,15,RIC,SOFT,1.0,12.0,11.0,22.73006134969325,75.38036809815951,1017.10981595092,0.0,33.44601226993865,131.45658704326615,1.061963190184049
