Year,Round,GrandPrix,Driver,Team,FP2_LapTime,FP2_GapToBest
2025,5,Saudi Arabian Grand Prix,VER,Red Bull Racing,88.547,0.28
2025,7,Emilia Romagna Grand Prix,ALB,Williams,75.916,0.623
2025,7,Emilia Romagna Grand Prix,ALO,Aston Martin,76.22,0.927
2025,7,Emilia Romagna Grand Prix,ANT,Mercedes,76.406,1.113
2025,7,Emilia Romagna Grand Prix,BEA,Haas F1 Team,76.009,0.716
2025,7,Emilia Romagna Grand Prix,BOR,Kick Sauber,76.339,1.046
2025,7,Emilia Romagna Grand Prix,COL,Alpine,76.044,0.751
2025,7,Emilia Romagna Grand Prix,GAS,Alpine,75.569,0.276
2025,7,Emilia Romagna Grand Prix,HAD,Racing Bulls,75.792,0.499
2025,7,Emilia Romagna Grand Prix,HAM,Ferrari,75.943,0.65
2025,7,Emilia Romagna Grand Prix,HUL,Kick Sauber,76.419,1.126
2025,7,Emilia Romagna Grand Prix,LAW,Racing Bulls,76.255,0.962
2025,7,Emilia Romagna Grand Prix,LEC,Ferrari,75.768,0.475
2025,7,Emilia Romagna Grand Prix,NOR,McLaren,75.318,0.025
2025,7,Emilia Romagna Grand Prix,OCO,Haas F1 Team,76.42,1.127
2025,7,Emilia Romagna Grand Prix,PIA,McLaren,75.293,0.0
2025,7,Emilia Romagna Grand Prix,RUS,Mercedes,75.693,0.4
2025,7,Emilia Romagna Grand Prix,SAI,Williams,75.934,0.641
2025,7,Emilia Romagna Grand Prix,STR,Aston Martin,76.341,1.048
2025,7,Emilia Romagna Grand Prix,TSU,Red Bull Racing,75.827,0.534
2025,7,Emilia Romagna Grand Prix,VER,Red Bull Racing,75.735,0.442
2025,8,Monaco Grand Prix,ALB,Williams,71.918,0.563
2025,8,Monaco Grand Prix,ALO,Aston Martin,71.89,0.535
2025,8,Monaco Grand Prix,ANT,Mercedes,72.002,0.647
2025,8,Monaco Grand Prix,BEA,Haas F1 Team,72.259,0.904
2025,8,Monaco Grand Prix,BOR,Kick Sauber,72.234,0.879
2025,8,Monaco Grand Prix,COL,Alpine,73.415,2.06
2025,8,Monaco Grand Prix,GAS,Alpine,72.404,1.049
2025,8,Monaco Grand Prix,HAD,Racing Bulls,71.842,0.487
2025,8,Monaco Grand Prix,HAM,Ferrari,71.46,0.105
2025,8,Monaco Grand Prix,HUL,Kick Sauber,72.262,0.907
2025,8,Monaco Grand Prix,LAW,Racing Bulls,71.823,0.468
2025,8,Monaco Grand Prix,LEC,Ferrari,71.355,0.0
2025,8,Monaco Grand Prix,NOR,McLaren,71.677,0.322
2025,8,Monaco Grand Prix,OCO,Haas F1 Team,72.541,1.186
2025,8,Monaco Grand Prix,PIA,McLaren,71.393,0.038
2025,8,Monaco Grand Prix,RUS,Mercedes,72.092,0.737
2025,8,Monaco Grand Prix,SAI,Williams,72.151,0.796
2025,8,Monaco Grand Prix,STR,Aston Martin,72.512,1.157
2025,8,Monaco Grand Prix,TSU,Red Bull Racing,72.072,0.717
2025,8,Monaco Grand Prix,VER,Red Bull Racing,72.068,0.713
2025,9,Spanish Grand Prix,ALB,Williams,73.839,1.079
2025,9,Spanish Grand Prix,ALO,Aston Martin,73.301,0.541
2025,9,Spanish Grand Prix,ANT,Mercedes,73.298,0.538
2025,9,Spanish Grand Prix,BEA,Haas F1 Team,74.126,1.366
2025,9,Spanish Grand Prix,BOR,Kick Sauber,73.959,1.199
2025,9,Spanish Grand Prix,COL,Alpine,74.303,1.5430000000000001
2025,9,Spanish Grand Prix,GAS,Alpine,73.385,0.625
2025,9,Spanish Grand Prix,HAD,Racing Bulls,73.4,0.64
2025,9,Spanish Grand Prix,HAM,Ferrari,73.533,0.773
2025,9,Spanish Grand Prix,HUL,Kick Sauber,73.592,0.832
2025,9,Spanish Grand Prix,LAW,Racing Bulls,73.494,0.734
2025,9,Spanish Grand Prix,LEC,Ferrari,73.26,0.5
2025,9,Spanish Grand Prix,NOR,McLaren,73.07,0.31
2025,9,Spanish Grand Prix,OCO,Haas F1 Team,74.005,1.245
2025,9,Spanish Grand Prix,PIA,McLaren,72.76,0.0
2025,9,Spanish Grand Prix,RUS,Mercedes,73.046,0.286
2025,9,Spanish Grand Prix,SAI,Williams,73.721,0.961
2025,9,Spanish Grand Prix,STR,Aston Martin,73.839,1.079
2025,9,Spanish Grand Prix,TSU,Red Bull Racing,73.683,0.923
2025,9,Spanish Grand Prix,VER,Red Bull Racing,73.07,0.31
2025,10,Canadian Grand Prix,ALB,Williams,72.445,0.322
2025,10,Canadian Grand Prix,ALO,Aston Martin,72.458,0.335
2025,10,Canadian Grand Prix,ANT,Mercedes,72.411,0.288
2025,10,Canadian Grand Prix,BEA,Haas F1 Team,73.08,0.957
2025,10,Canadian Grand Prix,BOR,Kick Sauber,72.896,0.773
2025,10,Canadian Grand Prix,COL,Alpine,73.898,1.775
2025,10,Canadian Grand Prix,GAS,Alpine,72.874,0.751
2025,10,Canadian Grand Prix,HAD,Racing Bulls,72.799,0.676
2025,10,Canadian Grand Prix,HAM,Ferrari,72.653,0.53
2025,10,Canadian Grand Prix,HUL,Kick Sauber,72.914,0.791
2025,10,Canadian Grand Prix,LAW,Racing Bulls,72.751,0.628
2025,10,Canadian Grand Prix,NOR,McLaren,72.151,0.028
2025,10,Canadian Grand Prix,OCO,Haas F1 Team,73.175,1.052
2025,10,Canadian Grand Prix,PIA,McLaren,72.562,0.439
2025,10,Canadian Grand Prix,RUS,Mercedes,72.123,0.0
2025,10,Canadian Grand Prix,SAI,Williams,72.631,0.508
2025,10,Canadian Grand Prix,,,,
2025,10,Canadian Grand Prix,TSU,Red Bull Racing,72.939,0.816
2025,10,Canadian Grand Prix,VER,Red Bull Racing,72.666,0.543
