Year,Round,GrandPrix,Driver,Team,FP2_LapTime,FP2_GapToBest
2024,1,Bahrain Grand Prix,ALB,Williams,91.333,0.959
2024,1,Bahrain Grand Prix,ALO,Aston Martin,90.66,0.286
2024,1,Bahrain Grand Prix,BOT,Kick Sauber,92.001,1.627
2024,1,Bahrain Grand Prix,GAS,Alpine,91.951,1.577
2024,1,Bahrain Grand Prix,HAM,Mercedes,90.374,0.0
2024,1,Bahrain Grand Prix,HUL,Haas F1 Team,90.884,0.51
2024,1,Bahrain Grand Prix,LEC,Ferrari,91.113,0.739
2024,1,Bahrain Grand Prix,MAG,Haas F1 Team,91.764,1.3900000000000001
2024,1,Bahrain Grand Prix,NOR,McLaren,92.608,2.234
2024,1,Bahrain Grand Prix,OCO,Alpine,92.027,1.653
2024,1,Bahrain Grand Prix,PER,Red Bull Racing,91.115,0.741
2024,1,Bahrain Grand Prix,PIA,McLaren,90.784,0.41
2024,1,Bahrain Grand Prix,RIC,RB,91.516,1.142
2024,1,Bahrain Grand Prix,RUS,Mercedes,90.58,0.206
2024,1,Bahrain Grand Prix,SAI,Ferrari,90.769,0.395
2024,1,Bahrain Grand Prix,SAR,Williams,91.715,1.341
2024,1,Bahrain Grand Prix,STR,Aston Martin,90.891,0.517
2024,1,Bahrain Grand Prix,TSU,RB,91.881,1.5070000000000001
2024,1,Bahrain Grand Prix,VER,Red Bull Racing,90.851,0.477
2024,1,Bahrain Grand Prix,ZHO,Kick Sauber,92.048,1.674
2024,2,Saudi Arabian Grand Prix,ALB,Williams,89.789,0.962
2024,2,Saudi Arabian Grand Prix,ALO,Aston Martin,88.827,0.0
2024,2,Saudi Arabian Grand Prix,BOT,Kick Sauber,90.153,1.326
2024,2,Saudi Arabian Grand Prix,GAS,Alpine,89.528,0.701
2024,2,Saudi Arabian Grand Prix,HAM,Mercedes,89.504,0.677
2024,2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,90.077,1.25
2024,2,Saudi Arabian Grand Prix,LEC,Ferrari,89.18,0.353
2024,2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,89.985,1.158
2024,2,Saudi Arabian Grand Prix,NOR,McLaren,89.758,0.931
2024,2,Saudi Arabian Grand Prix,OCO,Alpine,89.901,1.074
2024,2,Saudi Arabian Grand Prix,PER,Red Bull Racing,89.3,0.473
2024,2,Saudi Arabian Grand Prix,PIA,McLaren,89.594,0.767
2024,2,Saudi Arabian Grand Prix,RIC,RB,90.088,1.2610000000000001
2024,2,Saudi Arabian Grand Prix,RUS,Mercedes,89.057,0.23
2024,2,Saudi Arabian Grand Prix,SAI,Ferrari,89.455,0.628
2024,2,Saudi Arabian Grand Prix,SAR,Williams,89.934,1.107
2024,2,Saudi Arabian Grand Prix,STR,Aston Martin,89.336,0.509
2024,2,Saudi Arabian Grand Prix,TSU,RB,89.666,0.839
2024,2,Saudi Arabian Grand Prix,VER,Red Bull Racing,89.158,0.331
2024,2,Saudi Arabian Grand Prix,ZHO,Kick Sauber,89.777,0.95
2024,3,Australian Grand Prix,ALO,Aston Martin,77.912,0.635
2024,3,Australian Grand Prix,BOT,Kick Sauber,78.585,1.308
2024,3,Australian Grand Prix,GAS,Alpine,78.691,1.414
2024,3,Australian Grand Prix,HAM,Mercedes,78.834,1.557
2024,3,Australian Grand Prix,HUL,Haas F1 Team,78.702,1.425
2024,3,Australian Grand Prix,LEC,Ferrari,77.277,0.0
2024,3,Australian Grand Prix,MAG,Haas F1 Team,79.275,1.998
2024,3,Australian Grand Prix,NOR,McLaren,78.155,0.878
2024,3,Australian Grand Prix,OCO,Alpine,78.705,1.428
2024,3,Australian Grand Prix,PER,Red Bull Racing,78.09,0.813
2024,3,Australian Grand Prix,PIA,McLaren,78.077,0.8
2024,3,Australian Grand Prix,RIC,RB,78.534,1.2570000000000001
2024,3,Australian Grand Prix,RUS,Mercedes,77.951,0.674
2024,3,Australian Grand Prix,SAI,Ferrari,77.707,0.43
2024,3,Australian Grand Prix,SAR,Williams,78.578,1.301
2024,3,Australian Grand Prix,STR,Aston Martin,77.822,0.545
2024,3,Australian Grand Prix,TSU,RB,78.188,0.911
2024,3,Australian Grand Prix,VER,Red Bull Racing,77.658,0.381
2024,3,Australian Grand Prix,ZHO,Kick Sauber,78.421,1.144
2024,4,Japanese Grand Prix,ALB,Williams,123.821,29.096
2024,4,Japanese Grand Prix,BOT,Kick Sauber,116.059,21.334
2024,4,Japanese Grand Prix,HAM,Mercedes,95.226,0.501
2024,4,Japanese Grand Prix,HUL,Haas F1 Team,115.179,20.454
2024,4,Japanese Grand Prix,LEC,Ferrari,98.76,4.035
2024,4,Japanese Grand Prix,,,,
2024,4,Japanese Grand Prix,NOR,McLaren,104.977,10.252
2024,4,Japanese Grand Prix,OCO,Alpine,119.113,24.388
2024,4,Japanese Grand Prix,PIA,McLaren,94.725,0.0
2024,4,Japanese Grand Prix,RIC,RB,101.913,7.188
2024,4,Japanese Grand Prix,SAI,Ferrari,112.579,17.854
2024,4,Japanese Grand Prix,TSU,RB,100.946,6.221
2024,4,Japanese Grand Prix,ZHO,Kick Sauber,123.317,28.592
2024,7,Emilia Romagna Grand Prix,ALB,Williams,77.135,1.229
2024,7,Emilia Romagna Grand Prix,ALO,Aston Martin,76.838,0.932
2024,7,Emilia Romagna Grand Prix,BOT,Kick Sauber,77.088,1.182
2024,7,Emilia Romagna Grand Prix,GAS,Alpine,77.064,1.158
2024,7,Emilia Romagna Grand Prix,HAM,Mercedes,76.297,0.391
2024,7,Emilia Romagna Grand Prix,HUL,Haas F1 Team,76.826,0.92
2024,7,Emilia Romagna Grand Prix,LEC,Ferrari,75.906,0.0
2024,7,Emilia Romagna Grand Prix,MAG,Haas F1 Team,77.129,1.223
2024,7,Emilia Romagna Grand Prix,NOR,McLaren,76.98,1.074
2024,7,Emilia Romagna Grand Prix,OCO,Alpine,77.008,1.102
2024,7,Emilia Romagna Grand Prix,PER,Red Bull Racing,76.552,0.646
2024,7,Emilia Romagna Grand Prix,PIA,McLaren,76.098,0.192
2024,7,Emilia Romagna Grand Prix,RIC,RB,76.967,1.061
2024,7,Emilia Romagna Grand Prix,RUS,Mercedes,76.311,0.405
2024,7,Emilia Romagna Grand Prix,SAI,Ferrari,76.423,0.517
2024,7,Emilia Romagna Grand Prix,SAR,Williams,77.848,1.942
2024,7,Emilia Romagna Grand Prix,STR,Aston Martin,76.991,1.085
2024,7,Emilia Romagna Grand Prix,TSU,RB,76.286,0.38
2024,7,Emilia Romagna Grand Prix,VER,Red Bull Racing,76.447,0.541
2024,7,Emilia Romagna Grand Prix,ZHO,Kick Sauber,77.606,1.7
2024,8,Monaco Grand Prix,ALB,Williams,72.257,0.979
2024,8,Monaco Grand Prix,ALO,Aston Martin,71.753,0.475
2024,8,Monaco Grand Prix,BOT,Kick Sauber,73.057,1.779
2024,8,Monaco Grand Prix,GAS,Alpine,72.75,1.472
2024,8,Monaco Grand Prix,HAM,Mercedes,71.466,0.188
2024,8,Monaco Grand Prix,HUL,Haas F1 Team,72.569,1.291
2024,8,Monaco Grand Prix,LEC,Ferrari,71.278,0.0
2024,8,Monaco Grand Prix,MAG,Haas F1 Team,72.473,1.195
2024,8,Monaco Grand Prix,NOR,McLaren,71.953,0.675
2024,8,Monaco Grand Prix,OCO,Alpine,72.554,1.276
2024,8,Monaco Grand Prix,PER,Red Bull Racing,72.099,0.821
2024,8,Monaco Grand Prix,PIA,McLaren,72.366,1.088
2024,8,Monaco Grand Prix,RIC,RB,72.577,1.299
2024,8,Monaco Grand Prix,RUS,Mercedes,72.26,0.982
2024,8,Monaco Grand Prix,SAI,Ferrari,71.962,0.684
2024,8,Monaco Grand Prix,SAR,Williams,72.79,1.512
2024,8,Monaco Grand Prix,STR,Aston Martin,72.062,0.784
2024,8,Monaco Grand Prix,TSU,RB,72.349,1.071
2024,8,Monaco Grand Prix,VER,Red Bull Racing,71.813,0.535
2024,8,Monaco Grand Prix,ZHO,Kick Sauber,73.773,2.495
2024,9,Canadian Grand Prix,ALB,Williams,76.977,1.167
2024,9,Canadian Grand Prix,ALO,Aston Martin,75.81,0.0
2024,9,Canadian Grand Prix,BOT,Kick Sauber,77.817,2.007
2024,9,Canadian Grand Prix,GAS,Alpine,80.789,4.979
2024,9,Canadian Grand Prix,HAM,Mercedes,76.908,1.098
2024,9,Canadian Grand Prix,HUL,Haas F1 Team,77.903,2.093
2024,9,Canadian Grand Prix,LEC,Ferrari,76.556,0.746
2024,9,Canadian Grand Prix,MAG,Haas F1 Team,76.773,0.963
2024,9,Canadian Grand Prix,NOR,McLaren,80.843,5.033
2024,9,Canadian Grand Prix,OCO,Alpine,77.417,1.607
2024,9,Canadian Grand Prix,PER,Red Bull Racing,77.041,1.231
2024,9,Canadian Grand Prix,PIA,McLaren,79.008,3.198
2024,9,Canadian Grand Prix,RIC,RB,76.731,0.921
2024,9,Canadian Grand Prix,RUS,Mercedes,76.273,0.463
2024,9,Canadian Grand Prix,SAI,Ferrari,77.722,1.912
2024,9,Canadian Grand Prix,SAR,Williams,77.496,1.686
2024,9,Canadian Grand Prix,STR,Aston Martin,76.464,0.654
2024,9,Canadian Grand Prix,TSU,RB,76.951,1.141
2024,9,Canadian Grand Prix,VER,Red Bull Racing,79.311,3.501
2024,9,Canadian Grand Prix,ZHO,Kick Sauber,79.087,3.277
2024,10,Spanish Grand Prix,ALB,Williams,74.807,1.5430000000000001
2024,10,Spanish Grand Prix,ALO,Aston Martin,74.091,0.827
2024,10,Spanish Grand Prix,BOT,Kick Sauber,73.924,0.66
2024,10,Spanish Grand Prix,GAS,Alpine,73.443,0.179
2024,10,Spanish Grand Prix,HAM,Mercedes,73.264,0.0
2024,10,Spanish Grand Prix,HUL,Haas F1 Team,74.053,0.789
2024,10,Spanish Grand Prix,LEC,Ferrari,73.597,0.333
2024,10,Spanish Grand Prix,MAG,Haas F1 Team,74.021,0.757
2024,10,Spanish Grand Prix,NOR,McLaren,73.319,0.055
2024,10,Spanish Grand Prix,OCO,Alpine,73.766,0.502
2024,10,Spanish Grand Prix,PER,Red Bull Racing,74.081,0.817
2024,10,Spanish Grand Prix,PIA,McLaren,73.622,0.358
2024,10,Spanish Grand Prix,RIC,RB,74.257,0.993
2024,10,Spanish Grand Prix,RUS,Mercedes,73.722,0.458
2024,10,Spanish Grand Prix,SAI,Ferrari,73.286,0.022
2024,10,Spanish Grand Prix,SAR,Williams,75.07,1.806
2024,10,Spanish Grand Prix,STR,Aston Martin,74.402,1.138
2024,10,Spanish Grand Prix,TSU,RB,74.211,0.947
2024,10,Spanish Grand Prix,VER,Red Bull Racing,73.504,0.24
2024,10,Spanish Grand Prix,ZHO,Kick Sauber,74.345,1.081
2024,12,British Grand Prix,ALB,Williams,87.645,1.096
2024,12,British Grand Prix,ALO,Aston Martin,87.372,0.823
2024,12,British Grand Prix,BOT,Kick Sauber,87.381,0.832
2024,12,British Grand Prix,GAS,Alpine,87.732,1.183
2024,12,British Grand Prix,HAM,Mercedes,87.202,0.653
2024,12,British Grand Prix,HUL,Haas F1 Team,86.99,0.441
2024,12,British Grand Prix,LEC,Ferrari,87.15,0.601
2024,12,British Grand Prix,MAG,Haas F1 Team,88.122,1.573
2024,12,British Grand Prix,NOR,McLaren,86.549,0.0
2024,12,British Grand Prix,OCO,Alpine,87.743,1.194
2024,12,British Grand Prix,PER,Red Bull Racing,86.983,0.434
2024,12,British Grand Prix,PIA,McLaren,86.88,0.331
2024,12,British Grand Prix,RIC,RB,87.916,1.367
2024,12,British Grand Prix,RUS,Mercedes,87.294,0.745
2024,12,British Grand Prix,SAI,Ferrari,87.249,0.7
2024,12,British Grand Prix,SAR,Williams,87.809,1.26
2024,12,British Grand Prix,STR,Aston Martin,87.274,0.725
2024,12,British Grand Prix,TSU,RB,87.745,1.196
2024,12,British Grand Prix,VER,Red Bull Racing,87.233,0.684
2024,12,British Grand Prix,ZHO,Kick Sauber,87.813,1.264
2024,13,Hungarian Grand Prix,ALB,Williams,78.514,0.726
2024,13,Hungarian Grand Prix,ALO,Aston Martin,78.519,0.731
2024,13,Hungarian Grand Prix,BOT,Kick Sauber,78.586,0.798
2024,13,Hungarian Grand Prix,GAS,Alpine,78.888,1.1
2024,13,Hungarian Grand Prix,HAM,Mercedes,78.363,0.575
2024,13,Hungarian Grand Prix,HUL,Haas F1 Team,78.791,1.003
2024,13,Hungarian Grand Prix,LEC,Ferrari,79.286,1.498
2024,13,Hungarian Grand Prix,MAG,Haas F1 Team,78.315,0.527
2024,13,Hungarian Grand Prix,NOR,McLaren,77.788,0.0
2024,13,Hungarian Grand Prix,OCO,Alpine,78.754,0.966
2024,13,Hungarian Grand Prix,PER,Red Bull Racing,78.255,0.467
2024,13,Hungarian Grand Prix,PIA,McLaren,78.618,0.83
2024,13,Hungarian Grand Prix,RIC,RB,78.371,0.583
2024,13,Hungarian Grand Prix,RUS,Mercedes,78.294,0.506
2024,13,Hungarian Grand Prix,SAI,Ferrari,78.185,0.397
2024,13,Hungarian Grand Prix,SAR,Williams,78.611,0.823
2024,13,Hungarian Grand Prix,STR,Aston Martin,79.179,1.391
2024,13,Hungarian Grand Prix,TSU,RB,79.606,1.818
