Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
17.964,26.5,68.0,1012.0,False,39.9,34,0.8
77.999,26.5,67.0,1012.1,False,40.6,12,1.6
138.029,26.6,68.0,1012.2,False,40.7,343,1.9
198.017,26.7,68.0,1012.1,False,41.7,308,1.2
258.02,26.8,68.0,1012.3,False,42.2,313,1.4
318.053,26.9,69.0,1012.2,False,42.1,329,0.8
378.063,26.9,66.0,1012.3,False,42.6,283,1.6
438.072,27.0,67.0,1012.3,False,43.2,311,1.2
498.072,27.0,66.0,1012.2,False,43.2,309,2.0
558.083,27.1,66.0,1012.1,False,43.1,285,1.8
618.102,27.1,67.0,1012.1,False,43.2,328,1.0
678.103,27.2,65.0,1012.1,False,42.7,103,0.8
738.103,27.3,65.0,1012.1,False,43.0,108,1.3
798.107,27.4,65.0,1012.1,False,43.0,67,0.9
858.122,27.6,66.0,1012.2,False,42.9,80,0.8
918.144,27.8,65.0,1012.2,False,44.1,98,1.4
978.139,28.0,63.0,1012.4,False,44.5,66,1.5
1038.146,27.9,63.0,1012.5,False,44.5,0,0.7
1098.144,27.9,59.0,1012.5,False,45.2,89,0.4
1158.146,27.8,60.0,1012.5,False,44.6,7,1.4
1218.168,27.7,59.0,1012.6,False,43.3,3,1.4
1278.17,27.6,59.0,1012.5,False,42.8,339,1.1
1338.199,27.6,59.0,1012.5,False,41.9,43,0.8
1398.207,27.5,59.0,1012.5,False,43.2,95,1.6
1458.207,27.3,60.0,1012.5,False,40.7,64,2.4
1518.184,27.2,61.0,1012.6,False,39.8,70,1.2
1578.201,27.1,59.0,1012.5,False,39.8,65,1.7
1638.199,27.0,62.0,1012.5,False,40.8,354,2.0
1698.224,26.9,63.0,1012.6,False,43.2,121,1.3
1758.224,26.9,63.0,1012.5,False,43.9,105,1.7
1818.237,26.9,64.0,1012.6,False,43.6,120,2.0
1878.24,27.0,63.0,1012.6,False,43.6,109,2.0
1938.275,27.1,63.0,1012.7,False,42.8,95,2.4
1998.288,27.1,63.0,1012.8,False,42.6,82,1.6
2058.288,27.1,64.0,1012.7,False,41.8,0,0.9
2118.262,27.1,64.0,1012.8,False,41.8,0,1.0
2178.289,27.0,63.0,1012.8,False,42.0,358,0.7
2238.285,26.9,63.0,1012.7,False,41.7,351,1.0
2298.296,26.8,64.0,1012.7,False,40.7,349,2.3
2358.312,26.7,65.0,1012.7,False,40.3,10,1.4
2418.33,26.5,65.0,1012.8,False,40.3,99,0.5
2478.334,26.5,66.0,1012.8,False,40.3,105,1.2
2538.32,26.4,65.0,1012.7,False,40.3,337,0.5
2598.355,26.4,65.0,1012.7,False,40.3,330,1.8
2658.355,26.4,65.0,1012.7,False,40.2,2,1.8
2718.377,26.3,65.0,1012.8,False,40.2,307,1.3
2778.377,26.3,64.0,1012.7,False,37.4,324,1.2
2838.406,26.2,63.0,1012.6,False,37.4,68,1.1
2898.416,26.1,64.0,1012.6,False,39.8,104,1.3
2958.405,26.1,64.0,1012.6,False,39.8,0,0.6
3018.418,26.1,65.0,1012.5,False,39.4,161,0.7
3078.428,26.1,65.0,1012.6,False,40.0,245,0.3
3138.448,26.2,64.0,1012.6,False,40.8,310,0.4
3198.459,26.3,64.0,1012.5,False,40.9,0,0.4
3258.459,26.3,64.0,1012.5,False,40.9,15,0.6
3318.459,26.3,65.0,1012.5,False,39.8,283,1.2
3378.461,26.3,65.0,1012.5,False,39.8,283,1.2
3438.47,26.3,65.0,1012.5,False,39.7,243,1.2
3498.481,26.4,64.0,1012.4,False,40.0,147,1.3
3558.497,26.4,64.0,1012.3,False,40.3,105,1.2
3618.502,26.5,62.0,1012.4,False,40.1,89,1.2
3678.508,26.7,63.0,1012.3,False,39.8,219,0.8
3738.511,26.7,62.0,1012.3,False,39.1,10,0.7
3798.497,26.6,63.0,1012.4,False,39.0,4,0.4
3858.521,26.5,63.0,1012.5,False,38.6,10,1.4
3918.537,26.4,64.0,1012.5,False,38.5,229,1.3
3978.537,26.4,64.0,1012.5,False,38.4,0,0.0
4038.541,26.5,65.0,1012.6,False,38.5,355,1.0
4098.546,26.6,64.0,1012.5,False,38.9,346,0.8
4158.559,26.6,63.0,1012.6,False,38.9,0,0.7
4218.561,26.6,63.0,1012.5,False,38.9,189,0.9
4278.549,26.7,62.0,1012.4,False,38.9,302,1.0
4338.545,26.7,61.0,1012.6,False,39.0,40,1.0
4398.544,26.7,62.0,1012.6,False,38.9,324,1.4
4458.55,26.6,62.0,1012.6,False,38.5,338,1.3
4518.552,26.6,62.0,1012.6,False,38.5,95,1.1
4578.541,26.6,62.0,1012.5,False,38.4,356,1.1
4638.569,26.8,62.0,1012.5,False,38.2,296,0.5
4698.567,26.7,62.0,1012.5,False,38.2,28,1.4
4758.577,26.6,62.0,1012.4,False,38.1,270,1.4
4818.623,26.6,63.0,1012.4,False,37.6,235,0.8
4878.616,26.5,63.0,1012.4,False,37.6,193,0.8
4938.622,26.5,63.0,1012.3,False,37.7,282,0.6
4998.618,26.6,62.0,1012.5,False,37.7,306,0.6
5058.608,26.5,63.0,1012.4,False,37.6,332,0.7
5118.619,26.7,63.0,1012.5,False,37.6,247,0.7
5178.607,26.8,61.0,1012.5,False,37.8,283,0.6
5238.618,26.8,61.0,1012.4,False,38.0,343,0.7
5298.625,26.8,61.0,1012.5,False,37.9,291,0.8
5358.636,26.6,61.0,1012.3,False,37.6,306,0.6
5418.661,26.5,61.0,1012.3,False,37.6,318,0.9
5478.658,26.6,61.0,1012.2,False,37.8,267,0.9
5538.651,26.7,61.0,1012.1,False,37.8,266,0.7
5598.672,26.8,60.0,1012.0,False,37.8,204,0.4
5658.67,26.8,59.0,1012.0,False,37.9,159,0.0
5718.715,26.8,59.0,1012.0,False,37.7,259,0.8
5778.724,26.8,59.0,1011.9,False,37.7,250,0.8
5838.724,26.8,60.0,1011.9,False,37.5,326,0.9
5898.741,26.7,60.0,1011.9,False,37.3,336,0.8
5958.734,26.6,60.0,1011.9,False,37.2,314,0.8
6018.754,26.6,59.0,1011.8,False,37.0,323,1.3
6078.763,26.6,59.0,1011.8,False,36.9,316,1.7
6138.785,26.6,60.0,1012.0,False,36.6,293,1.4
6198.758,26.6,61.0,1012.0,True,36.4,302,0.9
6258.78,26.6,61.0,1011.9,True,36.4,315,1.0
6318.79,26.5,60.0,1011.9,True,36.4,331,1.0
6378.787,26.5,60.0,1012.2,False,36.0,324,1.1
6438.776,26.5,60.0,1012.1,False,36.0,288,1.2
6498.776,26.4,59.0,1012.2,True,36.4,335,0.7
6558.787,26.4,60.0,1012.1,True,35.8,300,1.4
6618.781,26.3,61.0,1012.3,False,35.5,300,1.1
6678.782,26.2,61.0,1012.3,False,36.1,329,0.9
6738.793,26.2,61.0,1012.3,False,36.1,311,0.9
6798.801,26.1,61.0,1012.3,False,35.9,322,1.2
6858.781,26.1,62.0,1012.3,False,35.8,309,1.1
6918.79,26.1,63.0,1012.2,False,35.5,309,1.8
6978.779,26.1,62.0,1012.2,False,35.7,306,1.5
7038.78,26.1,62.0,1012.3,False,36.0,301,0.9
7098.802,26.2,62.0,1012.3,False,36.0,301,0.9
7158.802,26.2,63.0,1012.3,False,35.7,335,1.0
7218.799,26.2,63.0,1012.3,False,35.7,309,1.0
7278.802,26.2,63.0,1012.4,False,35.5,351,1.2
7338.806,26.2,64.0,1012.3,False,35.1,307,0.9
7398.816,26.1,64.0,1012.2,False,34.9,353,0.8
7458.823,26.1,64.0,1012.2,False,34.9,345,0.0
7518.82,26.0,65.0,1012.2,False,35.2,305,0.5
7578.82,26.0,64.0,1012.1,False,35.3,318,0.9
7638.844,26.0,64.0,1012.1,False,35.6,0,0.6
7698.857,26.0,63.0,1012.1,False,35.8,211,0.0
7758.859,26.0,64.0,1011.9,False,35.7,65,0.4
7818.844,26.0,64.0,1011.7,False,35.4,5,0.8
7878.852,26.1,64.0,1011.7,False,35.3,296,1.0
7938.854,26.0,64.0,1011.6,False,35.3,313,1.1
7998.867,26.0,64.0,1011.7,False,35.3,291,1.1
8058.859,26.1,64.0,1011.6,False,35.0,276,1.3
8118.896,26.0,65.0,1011.7,False,35.0,294,0.9
8178.887,26.0,64.0,1011.7,False,35.1,317,0.5
8238.913,26.0,64.0,1011.7,False,35.0,339,1.1
8298.897,26.0,64.0,1011.8,False,34.9,341,0.7
8358.907,25.9,64.0,1011.8,False,34.9,346,1.0
8418.926,26.0,64.0,1011.9,False,35.0,321,0.9
8478.914,26.0,64.0,1011.9,False,34.8,321,1.3
8538.936,25.9,64.0,1011.9,False,34.9,0,1.1
8598.945,25.9,64.0,1012.0,False,34.9,327,0.7
8658.962,25.9,64.0,1011.9,False,34.9,318,0.8
8718.977,26.0,64.0,1012.0,False,34.9,329,0.9
8778.979,26.0,64.0,1012.0,False,34.9,324,1.4
8838.974,26.0,65.0,1012.0,False,34.9,329,0.9
8898.989,25.9,65.0,1011.9,False,34.9,336,1.1
