Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
34.453,23.0,28.0,1019.1,False,47.1,53,1.3
94.454,23.0,28.0,1019.1,False,47.0,153,0.7
154.454,23.0,28.0,1019.1,False,47.0,153,0.7
214.455,23.0,27.0,1019.0,False,47.3,3,0.8
274.455,23.1,28.0,1019.1,False,47.0,345,1.0
334.456,23.1,28.0,1019.0,False,47.3,326,1.2
394.472,23.1,30.0,1018.9,False,47.3,7,0.5
454.472,23.3,29.0,1019.0,False,47.1,8,0.8
514.473,23.3,26.0,1019.0,False,48.0,12,1.1
574.489,23.4,26.0,1019.0,False,48.0,40,1.2
634.521,23.4,26.0,1018.9,False,47.9,43,1.2
694.531,23.3,26.0,1018.9,False,47.9,27,1.2
754.537,23.3,25.0,1018.9,False,48.3,28,1.5
814.553,23.3,25.0,1019.0,False,48.1,357,1.1
874.557,23.3,25.0,1018.9,False,48.0,11,1.5
934.573,23.2,26.0,1019.0,False,47.8,62,0.4
994.558,23.2,25.0,1019.0,False,47.9,39,0.7
1054.574,23.1,25.0,1019.0,False,48.0,291,0.6
1114.555,23.2,26.0,1019.1,False,48.0,340,0.7
1174.571,23.1,26.0,1019.0,False,48.4,354,1.0
1234.587,23.1,28.0,1019.1,False,48.0,34,1.2
1294.603,23.1,32.0,1019.0,False,47.5,329,0.5
1354.592,23.3,30.0,1019.0,False,47.5,305,0.6
1414.608,23.3,32.0,1019.0,False,48.2,127,0.0
1474.624,23.2,30.0,1019.0,False,47.9,0,0.0
1534.593,23.3,30.0,1019.1,False,48.0,248,0.3
1594.593,23.3,29.0,1019.1,False,47.9,198,0.8
1654.615,23.3,29.0,1019.0,False,47.9,211,1.1
1714.601,23.3,30.0,1019.0,False,47.9,190,1.1
1774.601,23.1,30.0,1019.1,False,48.0,177,1.4
1834.602,23.1,31.0,1019.0,False,48.0,173,2.0
1894.602,22.8,31.0,1019.1,False,48.2,149,0.7
1954.603,22.8,31.0,1019.1,False,48.2,276,1.2
2014.601,22.8,32.0,1019.2,False,48.1,202,1.0
2074.61,22.9,34.0,1019.0,False,48.4,175,1.5
2134.61,22.8,33.0,1019.1,False,48.4,175,1.9
2194.595,22.8,34.0,1019.0,False,48.7,180,1.8
2254.595,22.8,31.0,1019.1,False,49.0,157,2.2
2314.612,22.8,33.0,1019.0,False,49.1,172,1.6
2374.597,22.8,33.0,1019.0,False,49.3,160,0.6
2434.597,23.0,33.0,1019.0,False,49.3,147,1.0
2494.61,23.0,32.0,1018.9,False,48.9,19,0.8
2554.611,23.0,31.0,1019.0,False,48.7,334,0.8
2614.611,23.0,31.0,1019.0,False,48.7,344,0.7
2674.612,23.1,30.0,1019.1,False,48.7,104,0.4
2734.612,23.2,31.0,1019.0,False,48.7,353,0.6
2794.613,23.0,31.0,1019.0,False,48.9,140,0.6
2854.629,23.0,30.0,1019.0,False,49.3,192,0.7
2914.614,23.0,29.0,1018.9,False,49.3,169,1.4
2974.614,23.0,28.0,1019.0,False,50.0,194,1.8
3034.615,23.0,28.0,1019.0,False,49.5,133,1.0
3094.615,23.0,29.0,1019.0,False,49.5,175,1.0
