Year,RoundNumber,Driver,StartingCompound,StartingTyreLife,FirstStintLength,avg_air_temp,avg_humidity,avg_pressure,avg_rainfall,avg_track_temp,avg_wind_direction,avg_wind_speed
2025,7,ALB,MEDIUM,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,ALO,MEDIUM,4.0,12.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,ANT,HARD,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,BEA,HARD,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,BOR,MEDIUM,1.0,12.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,COL,MEDIUM,1.0,22.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,GAS,MEDIUM,1.0,9.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,HAD,MEDIUM,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,HAM,HARD,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,HUL,HARD,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,LAW,MEDIUM,1.0,10.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,LEC,MEDIUM,1.0,10.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,NOR,MEDIUM,1.0,28.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,OCO,MEDIUM,1.0,1.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,PIA,MEDIUM,1.0,13.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,RUS,MEDIUM,4.0,11.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,SAI,MEDIUM,1.0,11.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,STR,MEDIUM,4.0,14.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,TSU,HARD,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,7,VER,MEDIUM,1.0,29.0,23.964666666666666,38.306666666666665,1009.8,0.0,42.664,-65.40254106691093,3.2479999999999998
2025,6,DOO,MEDIUM,1.0,1.0,26.573154362416112,63.02013422818792,1012.2959731543623,0.03355704697986577,38.69060402684564,-25.854859534758273,1.0469798657718121
2025,1,ALB,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,ALO,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,ANT,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,BEA,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,BOR,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,DOO,INTERMEDIATE,1.0,1.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,GAS,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,HAD,INTERMEDIATE,1.0,1.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
2025,1,HAM,INTERMEDIATE,1.0,2.0,15.707865168539326,78.42134831460675,1009.9016853932583,0.3258426966292135,18.942134831460674,-108.10532798494295,3.475280898876404
