Year,Round,GrandPrix,CircuitName,CircuitType,Location,Country,Driver,Team,LapTime_seconds,Sector1Time,Sector2Time,Sector3Time,Tyre,TyreLife,FreshTyre,TrackStatus,IsAccurate,AirTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,LEC,Ferrari,88.225,32.134,28.347,27.744,SOFT,3.0,True,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,MAG,Haas F1 Team,89.546,32.821,28.703,28.022,SOFT,5.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,MSC,Haas F1 Team,89.92,32.914,28.765,28.241,SOFT,6.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,NOR,McLaren,89.651,32.721,28.669,28.261,SOFT,3.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,OCO,Alpine,89.068,32.566,28.589,27.913,SOFT,9.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,PER,Red Bull Racing,88.2,32.299,28.323,27.578,SOFT,2.0,True,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,RIC,McLaren,89.773,32.78,28.776,28.217,SOFT,4.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,RUS,Mercedes,89.104,32.501,28.548000000000002,28.055,SOFT,3.0,True,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,SAI,Ferrari,88.402,32.289,28.482,27.631,SOFT,7.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,STR,Aston Martin,90.256,33.048,28.884,28.324,SOFT,2.0,True,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,,,,,,,,,,,,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,VER,Red Bull Racing,88.461,32.314,28.335,27.812,SOFT,3.0,True,1,True,23.9,55.0,1013.5,False,3.0,324
2022,2,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,permanent,Jeddah,Saudi Arabia,ZHO,Alfa Romeo,89.819,33.028,28.714,28.077,SOFT,5.0,False,1,True,23.9,55.0,1013.5,False,3.0,324
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,ALB,Williams,80.135,27.401,18.067,34.667,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,ALO,Alpine,78.815,27.015,17.78,34.02,SOFT,2.0,True,12,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,BOT,Alfa Romeo,79.251,27.193,18.019,34.039,SOFT,4.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,GAS,AlphaTauri,79.226,27.317,18.086,33.823,SOFT,5.0,False,12,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,HAM,Mercedes,78.825,26.975,18.0,33.85,SOFT,5.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,LAT,Williams,81.372,27.719,18.192,35.461,SOFT,4.0,True,12,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,LEC,Ferrari,77.868,26.74,17.786,33.342,SOFT,3.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,MAG,Haas F1 Team,80.254,27.859,18.237,34.158,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,MSC,Haas F1 Team,80.104,27.352,18.273,34.479,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,NOR,McLaren,78.703,27.047,17.991,33.665,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,OCO,Alpine,79.061,26.96,17.963,34.138,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,PER,Red Bull Racing,78.24,26.845,17.76,33.635,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,RIC,McLaren,79.032,27.143,18.066,33.823,SOFT,5.0,False,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,RUS,Mercedes,78.933,27.037,18.05,33.846,SOFT,5.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,SAI,Ferrari,78.469,27.01,17.772,33.687,SOFT,5.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,,,,,,,,,,,,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,TSU,AlphaTauri,79.424,27.079,18.098,34.247,SOFT,4.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,VER,Red Bull Racing,78.154,26.865,17.792,33.497,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,VET,Aston Martin,81.149,27.994,18.148,35.007,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
2022,3,Australian Grand Prix,Australian Grand Prix,permanent,Melbourne,Australia,ZHO,Alfa Romeo,79.91,27.625,18.204,34.081,SOFT,2.0,True,1,True,23.8,56.0,1017.5,False,1.5,321
