Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
14.052,21.0,52.0,978.1,False,42.1,217,0.5
74.05,20.6,53.0,978.0,False,42.1,0,1.1
134.047,20.6,52.0,978.0,False,42.2,284,0.7
194.053,20.7,51.0,978.1,False,42.0,244,1.4
254.057,20.7,51.0,978.1,False,41.1,13,1.2
314.062,20.6,51.0,978.1,False,41.1,328,1.5
374.052,20.8,50.0,978.1,False,40.5,21,1.8
434.075,20.9,50.0,978.1,False,39.9,328,1.3
494.092,20.9,51.0,978.2,False,40.1,314,1.3
554.123,20.9,51.0,978.1,False,40.5,285,0.9
614.108,21.0,51.0,978.2,False,40.9,203,1.2
674.106,20.9,50.0,978.1,False,41.5,204,0.9
734.098,20.8,51.0,978.0,False,41.5,177,0.9
794.124,20.8,51.0,978.1,False,41.5,127,0.9
854.127,20.9,51.0,978.0,False,41.8,152,1.4
914.146,21.0,50.0,978.1,False,41.9,219,1.4
974.145,21.0,53.0,978.1,False,41.9,349,1.2
1034.141,21.0,50.0,978.1,False,42.3,4,2.6
1094.143,21.1,49.0,978.2,False,42.4,345,2.4
1154.145,21.2,50.0,978.2,False,42.3,12,1.7
1214.15,21.3,51.0,978.2,False,42.4,15,1.0
1274.146,21.5,51.0,978.2,False,42.4,355,1.2
1334.152,21.4,50.0,978.2,False,42.3,345,0.8
1394.145,21.4,51.0,978.2,False,42.3,4,1.5
1454.15,21.4,52.0,978.1,False,42.4,258,0.8
1514.15,21.3,51.0,978.1,False,42.6,267,0.7
1574.145,21.2,52.0,978.1,False,42.6,6,1.8
1634.149,21.2,50.0,978.2,False,42.6,30,2.3
1694.155,21.0,51.0,978.2,False,42.6,358,1.3
1754.156,20.9,50.0,978.2,False,42.2,319,2.0
1814.156,20.7,51.0,978.2,False,40.1,19,1.7
1874.159,20.6,51.0,978.2,False,39.4,279,2.5
1934.151,20.6,52.0,978.2,False,39.7,223,0.8
1994.161,20.8,53.0,978.1,False,40.9,1,0.9
2054.162,21.0,51.0,978.3,False,41.6,348,0.9
2114.165,21.0,50.0,978.2,False,41.2,19,2.2
2174.162,21.0,51.0,978.3,False,40.2,22,1.6
2234.165,20.8,52.0,978.2,False,39.8,20,2.1
2294.157,20.7,52.0,978.1,False,39.1,329,2.0
2354.167,20.7,51.0,978.2,False,38.2,17,2.6
2414.162,20.8,51.0,978.2,False,38.0,352,2.3
2474.164,20.8,51.0,978.2,False,37.8,15,2.6
2534.162,20.8,51.0,978.2,False,37.7,29,2.2
2594.161,20.9,52.0,978.2,False,37.7,47,1.9
2654.168,20.9,51.0,978.2,False,39.5,17,1.6
2714.182,21.0,52.0,978.2,False,40.4,30,0.8
2774.171,21.0,52.0,978.2,False,40.9,15,1.1
2834.169,21.1,49.0,978.1,False,41.5,30,2.7
2894.163,21.1,49.0,978.2,False,42.0,34,2.9
2954.163,20.9,49.0,978.2,False,42.0,1,3.1
3014.223,20.9,50.0,978.2,False,42.0,3,2.6
3074.175,20.8,50.0,978.1,False,42.3,42,1.5
3134.165,20.9,50.0,978.1,False,42.4,31,1.6
3194.169,20.9,49.0,978.2,False,42.4,15,2.2
3254.202,20.9,49.0,978.1,False,42.3,33,2.2
3314.198,20.9,50.0,978.3,False,42.3,318,2.0
3374.218,21.0,49.0,978.2,False,42.6,321,1.3
3434.232,21.0,48.0,978.1,False,42.4,311,1.8
3494.233,21.0,48.0,978.1,False,42.4,311,1.8
3554.234,21.0,49.0,978.2,False,42.4,238,0.7
3614.256,21.2,49.0,978.2,False,42.6,149,1.2
3674.274,21.3,47.0,978.2,False,42.7,2,0.6
3734.283,21.3,48.0,978.2,False,42.7,8,2.2
3794.276,21.1,48.0,978.1,False,42.6,52,1.3
3854.291,21.0,49.0,978.2,False,42.4,3,1.2
3914.298,21.1,50.0,978.2,False,42.7,69,1.4
3974.314,21.3,50.0,978.3,False,42.7,287,1.1
4034.316,21.3,50.0,978.1,False,42.7,59,1.3
4094.309,21.4,49.0,978.0,False,42.6,342,0.6
4154.325,21.5,48.0,978.0,False,42.7,6,2.8
4214.346,21.5,48.0,978.0,False,42.9,359,2.9
4274.361,21.4,49.0,978.1,False,43.1,335,3.3
4334.353,21.5,48.0,978.0,False,43.1,12,2.9
4394.365,21.4,49.0,978.0,False,43.3,36,2.2
4454.396,21.4,49.0,977.9,False,43.3,40,1.9
4514.365,21.6,51.0,978.0,False,43.3,2,2.3
4574.434,21.4,50.0,978.1,False,42.9,40,3.2
4634.415,21.5,51.0,978.1,False,42.9,1,2.4
4694.411,21.6,52.0,978.1,False,42.9,328,2.0
4754.406,21.6,51.0,978.1,False,42.8,354,1.4
4814.407,21.6,50.0,978.1,False,42.6,0,2.2
4874.421,21.7,50.0,978.1,False,43.0,21,1.1
4934.429,21.7,50.0,978.1,False,43.0,21,1.1
4994.429,21.7,48.0,978.1,False,43.0,358,2.0
5054.445,21.8,48.0,978.1,False,42.8,319,1.5
5114.445,21.8,48.0,978.1,False,42.8,319,1.5
5174.447,21.9,49.0,978.1,False,43.3,192,1.2
5234.452,22.0,49.0,978.1,False,43.3,192,1.2
5294.447,22.0,50.0,978.0,False,43.3,49,1.7
5354.464,22.0,49.0,978.0,False,43.2,123,0.6
5414.447,22.0,47.0,978.0,False,42.8,147,1.4
5474.452,21.7,48.0,978.1,False,42.6,15,0.4
5534.446,21.6,48.0,977.8,False,42.7,46,1.0
5594.447,21.5,47.0,977.9,False,43.0,7,1.6
5654.446,21.7,48.0,978.0,False,43.4,270,1.7
5714.455,21.7,47.0,978.0,False,43.3,339,1.5
5774.456,21.8,47.0,978.0,False,43.5,320,0.8
5834.454,21.8,47.0,978.0,False,43.3,15,1.4
5894.525,21.8,48.0,978.0,False,43.5,0,2.1
5954.451,21.7,47.0,977.9,False,43.5,2,3.1
6014.459,21.6,49.0,978.0,False,43.5,338,1.3
6074.466,21.5,50.0,977.9,False,43.4,2,0.6
6134.461,21.6,50.0,978.0,False,44.1,36,1.4
6194.461,21.8,49.0,977.9,False,44.1,331,2.4
6254.452,21.9,50.0,978.0,False,43.5,6,1.9
6314.461,21.9,49.0,978.0,False,43.4,12,1.6
6374.46,21.7,49.0,978.0,False,43.5,250,2.2
6434.453,21.4,49.0,978.0,False,43.6,4,1.1
6494.459,21.3,49.0,978.0,False,43.7,16,1.9
6554.547,21.3,49.0,978.1,False,43.8,10,2.6
6614.469,21.5,48.0,977.9,False,44.0,20,2.6
6674.466,21.7,49.0,978.0,False,44.1,18,3.2
6734.476,21.8,49.0,977.9,False,44.0,0,2.1
6794.467,21.9,50.0,978.0,False,44.0,3,2.2
6854.467,21.9,50.0,977.9,False,43.6,25,2.1
6914.444,21.9,50.0,978.0,False,43.5,18,2.8
6974.463,21.9,50.0,978.0,False,43.4,22,1.9
7034.463,21.8,50.0,978.1,False,42.4,9,2.2
7094.462,21.8,49.0,978.1,False,41.7,19,2.2
7154.523,21.6,49.0,978.1,False,41.8,355,1.8
7214.462,21.5,48.0,978.1,False,42.5,13,1.9
7274.498,21.3,49.0,978.1,False,42.8,25,1.2
7334.472,21.4,49.0,978.1,False,42.9,251,1.4
7394.469,21.7,48.0,978.1,False,43.2,3,0.5
7454.466,21.9,47.0,978.2,False,43.1,335,1.4
7514.479,21.9,48.0,978.1,False,43.1,18,1.4
7574.483,21.9,47.0,978.1,False,43.2,332,2.4
7634.483,22.1,48.0,978.1,False,43.2,315,1.9
7694.483,22.0,49.0,978.0,False,42.6,334,2.0
7754.488,22.0,49.0,978.2,False,42.8,5,2.0
7814.484,22.0,48.0,978.1,False,42.6,335,1.6
7874.498,21.8,47.0,978.2,False,42.3,336,1.7
