Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3391.948,PIA,81,86.746,1.0,1.0,,,,29.625,23.513,,3368.587,3392.061,270.0,240.0,243.0,244.0,False,MEDIUM,1.0,True,McLaren,3304.938,,1,1.0,False,,False,False
3475.986,PIA,81,84.038,2.0,1.0,,,29.924,30.425,23.689,3421.888,3452.313,3476.002,264.0,231.0,244.0,285.0,True,MEDIUM,2.0,True,McLaren,3391.948,,1,1.0,False,,False,True
3560.387,PIA,81,84.401,3.0,1.0,,,30.303,30.297,23.801,3506.305,3536.602,3560.403,259.0,233.0,244.0,283.0,False,MEDIUM,3.0,True,McLaren,3475.986,,1,1.0,False,,False,True
3644.502,PIA,81,84.115,4.0,1.0,,,30.145,30.338,23.632,3590.548,3620.886,3644.518,270.0,233.0,244.0,284.0,False,MEDIUM,4.0,True,McLaren,3560.387,,1,1.0,False,,False,True
3728.298,PIA,81,83.796,5.0,1.0,,,30.091,30.157,23.548,3674.609,3704.766,3728.314,267.0,235.0,244.0,,True,MEDIUM,5.0,True,McLaren,3644.502,,1,1.0,False,,False,True
3812.144,PIA,81,83.846,6.0,1.0,,,30.008,30.248,23.59,3758.322,3788.57,3812.16,266.0,235.0,244.0,,False,MEDIUM,6.0,True,McLaren,3728.298,,1,1.0,False,,False,True
3896.254,PIA,81,84.11,7.0,1.0,,,30.163,30.201,23.746,3842.323,3872.524,3896.27,268.0,235.0,243.0,,False,MEDIUM,7.0,True,McLaren,3812.144,,1,1.0,False,,False,True
3980.146,PIA,81,83.892,8.0,1.0,,,30.068,30.192,23.632,3926.338,3956.53,3980.162,269.0,236.0,245.0,285.0,False,MEDIUM,8.0,True,McLaren,3896.254,,1,1.0,False,,False,True
4064.352,PIA,81,84.206,9.0,1.0,,,30.054,30.348,23.804,4010.216,4040.564,4064.368,267.0,236.0,244.0,,False,MEDIUM,9.0,True,McLaren,3980.146,,1,1.0,False,,False,True
4148.609,PIA,81,84.257,10.0,1.0,,,30.286,30.286,23.685,4094.654,4124.94,4148.625,269.0,237.0,244.0,284.0,False,MEDIUM,10.0,True,McLaren,4064.352,,1,1.0,False,,False,True
4232.671,PIA,81,84.062,11.0,1.0,,,30.206,30.227,23.629,4178.831,4209.058,4232.687,270.0,235.0,244.0,285.0,False,MEDIUM,11.0,True,McLaren,4148.609,,1,1.0,False,,False,True
4316.564,PIA,81,83.893,12.0,1.0,,,30.077,30.128,23.688,4262.764,4292.892,4316.58,,235.0,244.0,,False,MEDIUM,12.0,True,McLaren,4232.671,,1,1.0,False,,False,True
4400.451,PIA,81,83.887,13.0,1.0,,,30.139,30.039,23.709,4346.719,4376.758,4400.467,272.0,239.0,244.0,,False,MEDIUM,13.0,True,McLaren,4316.564,,1,1.0,False,,False,True
4485.134,PIA,81,84.683,14.0,1.0,,,30.389,30.334,23.96,4430.856,4461.19,4485.15,270.0,236.0,243.0,,False,MEDIUM,14.0,True,McLaren,4400.451,,1,1.0,False,,False,True
4569.433,PIA,81,84.299,15.0,1.0,,,30.285,30.204,23.81,4515.435,4545.639,4569.449,271.0,237.0,244.0,,False,MEDIUM,15.0,True,McLaren,4485.134,,1,1.0,False,,False,True
4653.67,PIA,81,84.237,16.0,1.0,,,30.211,30.174,23.852,4599.66,4629.834,4653.686,,235.0,245.0,286.0,False,MEDIUM,16.0,True,McLaren,4569.433,,1,1.0,False,,False,True
4737.918,PIA,81,84.248,17.0,1.0,,,30.29,30.207,23.751,4683.976,4714.183,4737.934,270.0,238.0,244.0,285.0,False,MEDIUM,17.0,True,McLaren,4653.67,,1,1.0,False,,False,True
4824.414,PIA,81,86.496,18.0,1.0,,4822.641,30.228,30.152,26.116,4768.162,4798.314,4824.43,273.0,238.0,,,False,MEDIUM,18.0,True,McLaren,4737.918,,1,1.0,False,,False,False
4926.893,PIA,81,102.479,19.0,2.0,4844.313,,48.506,30.391,23.582,4872.936,4903.327,4926.909,273.0,236.0,244.0,,False,HARD,2.0,False,McLaren,4824.414,,1,4.0,False,,False,False
5010.496,PIA,81,83.603,20.0,2.0,,,29.964,30.107,23.532,4956.873,4986.98,5010.512,271.0,236.0,246.0,286.0,True,HARD,3.0,False,McLaren,4926.893,,1,4.0,False,,False,True
5093.97,PIA,81,83.474,21.0,2.0,,,30.019,29.893,23.562,5040.531,5070.424,5093.986,274.0,238.0,245.0,289.0,True,HARD,4.0,False,McLaren,5010.496,,1,3.0,False,,False,True
5177.237,PIA,81,83.267,22.0,2.0,,,30.038,29.836,23.393,5124.024,5153.86,5177.253,270.0,239.0,246.0,287.0,True,HARD,5.0,False,McLaren,5093.97,,1,2.0,False,,False,True
5260.339,PIA,81,83.102,23.0,2.0,,,29.975,29.689,23.438,5207.228,5236.917,5260.355,271.0,239.0,244.0,288.0,True,HARD,6.0,False,McLaren,5177.237,,1,2.0,False,,False,True
5343.434,PIA,81,83.095,24.0,2.0,,,29.951,29.712,23.432,5290.306,5320.018,5343.45,,238.0,246.0,286.0,True,HARD,7.0,False,McLaren,5260.339,,1,1.0,False,,False,True
5426.396,PIA,81,82.962,25.0,2.0,,,30.01,29.615,23.337,5373.46,5403.075,5426.412,272.0,238.0,245.0,,True,HARD,8.0,False,McLaren,5343.434,,1,1.0,False,,False,True
5509.05,PIA,81,82.654,26.0,2.0,,,29.83,29.559,23.265,5456.242,5485.801,5509.066,273.0,240.0,246.0,,True,HARD,9.0,False,McLaren,5426.396,,1,1.0,False,,False,True
5591.797,PIA,81,82.747,27.0,2.0,,,29.915,29.536,23.296,5538.981,5568.517,5591.813,272.0,240.0,246.0,287.0,False,HARD,10.0,False,McLaren,5509.05,,1,1.0,False,,False,True
5674.587,PIA,81,82.79,28.0,2.0,,,29.906,29.44,23.444,5621.719,5651.159,5674.603,273.0,240.0,246.0,,False,HARD,11.0,False,McLaren,5591.797,,1,1.0,False,,False,True
5757.291,PIA,81,82.704,29.0,2.0,,,29.853,29.45,23.401,5704.456,5733.906,5757.307,274.0,240.0,246.0,288.0,False,HARD,12.0,False,McLaren,5674.587,,1,1.0,False,,False,True
5840.332,PIA,81,83.041,30.0,2.0,,,29.913,29.524,23.604,5787.22,5816.744,5840.348,,240.0,245.0,287.0,False,HARD,13.0,False,McLaren,5757.291,,1,1.0,False,,False,True
5923.504,PIA,81,83.172,31.0,2.0,,,29.918,29.539,23.715,5870.266,5899.805,5923.52,,241.0,246.0,288.0,False,HARD,14.0,False,McLaren,5840.332,,1,1.0,False,,False,True
6006.901,PIA,81,83.397,32.0,2.0,,,29.956,29.712,23.729,5953.476,5983.188,6006.917,273.0,241.0,246.0,290.0,False,HARD,15.0,False,McLaren,5923.504,,1,1.0,False,,False,True
