Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3861.76,VER,1,101.343,1.0,1.0,,,,40.647,33.198,,3828.59,3861.879,212.0,181.0,199.0,302.0,False,MEDIUM,1.0,True,Red Bull Racing,3760.17,2022-10-23 19:03:40.181,12,1.0,False,,False,False
3963.456,VER,1,101.696,2.0,1.0,,,27.804,40.703,33.189,3889.588,3930.291,3963.48,205.0,179.0,199.0,304.0,True,MEDIUM,2.0,True,Red Bull Racing,3861.76,2022-10-23 19:05:21.771,1,1.0,False,,False,True
4065.349,VER,1,101.893,3.0,1.0,,,27.91,40.636,33.347,3991.39,4032.026,4065.373,202.0,180.0,197.0,303.0,False,MEDIUM,3.0,True,Red Bull Racing,3963.456,2022-10-23 19:07:03.467,1,1.0,False,,False,True
4167.93,VER,1,102.581,4.0,1.0,,,28.03,40.805,33.746,4093.403,4134.208,4167.954,199.0,178.0,197.0,303.0,False,MEDIUM,4.0,True,Red Bull Racing,4065.349,2022-10-23 19:08:45.360,1,1.0,False,,False,True
4270.8,VER,1,102.87,5.0,1.0,,,28.203,41.199,33.468,4196.157,4237.356,4270.824,,177.0,198.0,301.0,False,MEDIUM,5.0,True,Red Bull Racing,4167.93,2022-10-23 19:10:27.941,1,1.0,False,,False,True
4373.626,VER,1,102.826,6.0,1.0,,,28.026,41.091,33.709,4298.85,4339.941,4373.65,200.0,176.0,197.0,304.0,False,MEDIUM,6.0,True,Red Bull Racing,4270.8,2022-10-23 19:12:10.811,1,1.0,False,,False,True
4475.94,VER,1,102.314,7.0,1.0,,,27.879,40.93,33.505,4401.529,4442.459,4475.964,202.0,178.0,197.0,305.0,False,MEDIUM,7.0,True,Red Bull Racing,4373.626,2022-10-23 19:13:53.637,1,1.0,False,,False,True
4578.77,VER,1,102.83,8.0,1.0,,,28.139,41.029,33.662,4504.103,4545.132,4578.794,199.0,175.0,197.0,305.0,False,MEDIUM,8.0,True,Red Bull Racing,4475.94,2022-10-23 19:15:35.951,1,1.0,False,,False,True
4681.182,VER,1,102.412,9.0,1.0,,,27.87,40.943,33.599,4606.664,4647.607,4681.206,201.0,177.0,198.0,305.0,False,MEDIUM,9.0,True,Red Bull Racing,4578.77,2022-10-23 19:17:18.781,1,1.0,False,,False,True
4783.674,VER,1,102.492,10.0,1.0,,,27.827,41.055,33.61,4709.033,4750.088,4783.698,202.0,179.0,198.0,303.0,False,MEDIUM,10.0,True,Red Bull Racing,4681.182,2022-10-23 19:19:01.193,1,1.0,False,,False,True
4886.257,VER,1,102.583,11.0,1.0,,,27.818,41.199,33.566,4811.516,4852.715,4886.281,200.0,178.0,197.0,304.0,False,MEDIUM,11.0,True,Red Bull Racing,4783.674,2022-10-23 19:20:43.685,1,1.0,False,,False,True
4989.268,VER,1,103.011,12.0,1.0,,,27.819,41.238,33.954,4914.1,4955.338,4989.292,201.0,179.0,198.0,305.0,False,MEDIUM,12.0,True,Red Bull Racing,4886.257,2022-10-23 19:22:26.268,1,1.0,False,,False,True
5091.943,VER,1,102.675,13.0,1.0,,5090.943,27.756,41.146,33.773,5017.048,5058.194,5091.967,205.0,176.0,,303.0,False,MEDIUM,13.0,True,Red Bull Racing,4989.268,2022-10-23 19:24:09.279,1,1.0,False,,False,False
5214.055,VER,1,122.112,14.0,2.0,5114.799,,47.83,40.746,33.536,5139.797,5180.543,5214.079,207.0,181.0,199.0,302.0,False,HARD,1.0,True,Red Bull Racing,5091.943,2022-10-23 19:25:51.954,1,2.0,False,,False,False
5316.479,VER,1,102.424,15.0,2.0,,,28.194,40.771,33.459,5242.273,5283.044,5316.503,200.0,178.0,200.0,305.0,False,HARD,2.0,True,Red Bull Racing,5214.055,2022-10-23 19:27:54.066,1,1.0,False,,False,True
5418.384,VER,1,101.905,16.0,2.0,,,27.775,40.698,33.432,5344.278,5384.976,5418.408,204.0,179.0,201.0,306.0,False,HARD,3.0,True,Red Bull Racing,5316.479,2022-10-23 19:29:36.490,1,1.0,False,,False,True
5520.867,VER,1,102.483,17.0,2.0,,,27.736,41.244,33.503,5446.144,5487.388,5520.891,205.0,173.0,200.0,304.0,False,HARD,4.0,True,Red Bull Racing,5418.384,2022-10-23 19:31:18.395,1,1.0,False,,False,True
5640.587,VER,1,119.72,18.0,2.0,,,27.775,41.41,50.535,5548.666,5590.076,5640.611,204.0,115.0,162.0,305.0,False,HARD,5.0,True,Red Bull Racing,5520.867,2022-10-23 19:33:00.878,124,2.0,False,,False,False
5804.685,VER,1,,19.0,2.0,,,41.246,68.175,54.659,5681.896,5750.136,5804.709,116.0,148.0,172.0,148.0,False,HARD,6.0,True,Red Bull Racing,5640.587,2022-10-23 19:35:00.598,4,1.0,False,,False,False
5960.804,VER,1,,20.0,2.0,,,43.275,61.523,51.258,5848.047,5909.592,5960.87,114.0,159.0,149.0,141.0,False,HARD,7.0,True,Red Bull Racing,5804.685,2022-10-23 19:37:44.696,4,1.0,False,,False,False
6122.706,VER,1,,21.0,2.0,,,41.782,58.117,62.067,6002.636,6060.772,6122.842,141.0,141.0,202.0,242.0,False,HARD,8.0,True,Red Bull Racing,5960.804,2022-10-23 19:40:20.815,41,1.0,False,,False,False
6244.876,VER,1,122.17,22.0,2.0,,,27.556,40.603,54.011,6150.286,6190.889,6244.9,207.0,181.0,155.0,303.0,False,HARD,9.0,True,Red Bull Racing,6122.706,2022-10-23 19:43:02.717,124,1.0,False,,False,False
6416.611,VER,1,,23.0,2.0,,,40.184,80.243,51.25,6285.142,6365.412,6416.656,128.0,151.0,167.0,109.0,False,HARD,10.0,True,Red Bull Racing,6244.876,2022-10-23 19:45:04.887,4,1.0,False,,False,False
6589.525,VER,1,,24.0,2.0,,,43.7,78.668,50.53,6460.351,6539.049,6589.571,123.0,156.0,164.0,89.0,False,HARD,11.0,True,Red Bull Racing,6416.611,2022-10-23 19:47:56.622,4,1.0,False,,False,False
