Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3877.899,VER,1,122.046,1.0,1.0,,,,49.014,31.876,,3846.098,3878.022,252.0,282.0,148.0,219.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,3755.625,2022-10-09 05:03:35.902,124,1.0,False,,False,False
4061.258,VER,1,,2.0,1.0,,4059.541,58.131,85.451,39.787,3936.202,4021.546,4061.476,140.0,214.0,,141.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,3877.899,2022-10-09 05:05:38.176,45,1.0,False,,False,False
11815.042,VER,1,,3.0,2.0,11646.948,,,73.921,32.369,,11782.748,11815.169,138.0,223.0,192.0,159.0,False,WET,1.0,True,Red Bull Racing,11640.147,2022-10-09 07:15:00.424,1,1.0,False,,False,False
11980.753,VER,1,,4.0,2.0,,,63.741,71.392,30.571,11878.876,11950.283,11980.828,155.0,211.0,206.0,146.0,False,WET,2.0,True,Red Bull Racing,11815.042,2022-10-09 07:17:55.319,1,1.0,False,,False,False
12164.098,VER,1,,5.0,2.0,,,62.043,84.968,36.379,12042.859,12127.935,12164.271,151.0,104.0,241.0,100.0,False,WET,3.0,True,Red Bull Racing,11980.753,2022-10-09 07:20:41.030,1,1.0,False,,False,False
12274.859,VER,1,110.761,6.0,2.0,,,40.046,49.014,21.701,12204.219,12253.233,12274.934,259.0,284.0,241.0,253.0,True,WET,4.0,True,Red Bull Racing,12164.098,2022-10-09 07:23:44.375,1,1.0,False,,False,True
12387.724,VER,1,112.865,7.0,2.0,,12386.364,39.707,49.161,23.997,12314.641,12363.802,12387.799,262.0,286.0,,254.0,False,WET,5.0,True,Red Bull Racing,12274.859,2022-10-09 07:25:35.136,1,1.0,False,,False,False
12518.349,VER,1,130.625,8.0,3.0,12411.019,,61.116,47.751,21.758,12448.915,12496.666,12518.424,268.0,292.0,247.0,251.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,12387.724,2022-10-09 07:27:28.001,1,4.0,False,,False,False
12623.497,VER,1,105.148,9.0,3.0,,,37.744,46.952,20.452,12556.168,12603.12,12623.572,269.0,289.0,246.0,272.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,12518.349,2022-10-09 07:29:38.626,1,1.0,False,,False,True
12728.408,VER,1,104.911,10.0,3.0,,,37.845,46.812,20.254,12661.417,12708.229,12728.483,271.0,291.0,247.0,277.0,True,INTERMEDIATE,3.0,True,Red Bull Racing,12623.497,2022-10-09 07:31:23.774,1,1.0,False,,False,True
12833.419,VER,1,105.011,11.0,3.0,,,37.76,46.858,20.393,12766.243,12813.101,12833.494,,291.0,247.0,276.0,False,INTERMEDIATE,4.0,True,Red Bull Racing,12728.408,2022-10-09 07:33:08.685,1,1.0,False,,False,True
12938.822,VER,1,105.403,12.0,3.0,,,37.983,47.051,20.369,12871.477,12918.528,12938.897,,291.0,247.0,277.0,False,INTERMEDIATE,5.0,True,Red Bull Racing,12833.419,2022-10-09 07:34:53.696,1,1.0,False,,False,True
13044.624,VER,1,105.802,13.0,3.0,,,38.087,47.19,20.525,12976.984,13024.174,13044.699,,291.0,247.0,278.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,12938.822,2022-10-09 07:36:39.099,1,1.0,False,,False,True
