Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3862.816,VER,1,108.811,1.0,1.0,,,,30.57,43.417,,3819.458,3862.926,226.0,273.0,237.0,236.0,False,MEDIUM,4.0,False,Red Bull Racing,3753.771,2023-10-08 17:03:33.776,124,1.0,False,,False,False
4008.419,VER,1,145.603,2.0,1.0,,,56.965,45.684,42.954,3919.835,3965.519,4008.473,170.0,147.0,200.0,145.0,True,MEDIUM,5.0,False,Red Bull Racing,3862.816,2023-10-08 17:05:22.821,4,1.0,False,,False,False
4154.382,VER,1,145.963,3.0,1.0,,,56.379,46.05,43.534,4064.852,4110.902,4154.436,181.0,211.0,174.0,162.0,False,MEDIUM,6.0,False,Red Bull Racing,4008.419,2023-10-08 17:07:48.424,4,1.0,False,,False,False
4307.524,VER,1,,4.0,1.0,,,50.072,46.453,56.634,4204.547,4251.015,4307.687,179.0,132.0,274.0,225.0,False,MEDIUM,7.0,False,Red Bull Racing,4154.382,2023-10-08 17:10:14.387,41,1.0,False,,False,False
4397.797,VER,1,90.273,5.0,1.0,,,33.31,30.26,26.703,4340.888,4371.148,4397.851,231.0,274.0,274.0,291.0,True,MEDIUM,8.0,False,Red Bull Racing,4307.524,2023-10-08 17:12:47.529,1,1.0,False,,False,True
4487.206,VER,1,89.409,6.0,1.0,,,33.139,29.969,26.301,4430.99,4460.959,4487.26,226.0,275.0,275.0,298.0,True,MEDIUM,9.0,False,Red Bull Racing,4397.797,2023-10-08 17:14:17.802,1,1.0,False,,False,True
4576.289,VER,1,89.083,7.0,1.0,,,32.85,29.847,26.386,4520.11,4549.957,4576.343,231.0,275.0,275.0,299.0,True,MEDIUM,10.0,False,Red Bull Racing,4487.206,2023-10-08 17:15:47.211,1,1.0,False,,False,True
4665.651,VER,1,89.362,8.0,1.0,,,33.037,29.899,26.426,4609.38,4639.279,4665.705,229.0,275.0,275.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,4576.289,2023-10-08 17:17:16.294,1,1.0,False,,False,True
4754.977,VER,1,89.326,9.0,1.0,,,33.034,29.86,26.432,4698.739,4728.599,4755.031,230.0,276.0,275.0,,False,MEDIUM,12.0,False,Red Bull Racing,4665.651,2023-10-08 17:18:45.656,1,1.0,False,,False,True
4844.434,VER,1,89.457,10.0,1.0,,,33.02,29.859,26.578,4788.051,4817.91,4844.488,229.0,276.0,274.0,300.0,False,MEDIUM,13.0,False,Red Bull Racing,4754.977,2023-10-08 17:20:14.982,1,1.0,False,,False,True
4933.791,VER,1,89.357,11.0,1.0,,,33.039,29.873,26.445,4877.527,4907.4,4933.845,228.0,276.0,275.0,302.0,False,MEDIUM,14.0,False,Red Bull Racing,4844.434,2023-10-08 17:21:44.439,1,1.0,False,,False,True
5022.993,VER,1,89.202,12.0,1.0,,,32.949,29.837,26.416,4966.794,4996.631,5023.047,,276.0,275.0,299.0,False,MEDIUM,15.0,False,Red Bull Racing,4933.791,2023-10-08 17:23:13.796,1,1.0,False,,False,True
5112.008,VER,1,89.015,13.0,1.0,,,32.728,29.829,26.458,5055.775,5085.604,5112.062,230.0,277.0,274.0,300.0,True,MEDIUM,16.0,False,Red Bull Racing,5022.993,2023-10-08 17:24:42.998,1,1.0,False,,False,True
5201.131,VER,1,89.123,14.0,1.0,,,32.952,29.835,26.336,5145.014,5174.849,5201.185,226.0,275.0,275.0,301.0,False,MEDIUM,17.0,False,Red Bull Racing,5112.008,2023-10-08 17:26:12.013,1,1.0,False,,False,True
5289.843,VER,1,88.712,15.0,1.0,,,32.868,29.69,26.154,5234.053,5263.743,5289.897,231.0,277.0,275.0,300.0,True,MEDIUM,18.0,False,Red Bull Racing,5201.131,2023-10-08 17:27:41.136,1,1.0,False,,False,True
5377.718,VER,1,87.875,16.0,1.0,,,32.519,29.524,25.832,5322.416,5351.94,5377.772,229.0,277.0,275.0,,True,MEDIUM,19.0,False,Red Bull Racing,5289.843,2023-10-08 17:29:09.848,1,1.0,False,,False,True
5469.923,VER,1,92.205,17.0,1.0,,5465.783,32.615,29.751,29.839,5410.387,5440.138,5469.977,231.0,276.0,,298.0,False,MEDIUM,20.0,False,Red Bull Racing,5377.718,2023-10-08 17:30:37.723,1,1.0,False,,False,False
5581.697,VER,1,111.774,18.0,2.0,5494.017,,54.973,30.317,26.484,5524.95,5555.267,5581.751,226.0,274.0,275.0,173.0,False,MEDIUM,4.0,False,Red Bull Racing,5469.923,2023-10-08 17:32:09.928,1,1.0,False,,False,False
5670.773,VER,1,89.076,19.0,2.0,,,32.859,29.801,26.416,5614.61,5644.411,5670.827,227.0,272.0,276.0,295.0,False,MEDIUM,5.0,False,Red Bull Racing,5581.697,2023-10-08 17:34:01.702,1,1.0,False,,False,True
5759.227,VER,1,88.454,20.0,2.0,,,32.658,29.618,26.178,5703.485,5733.103,5759.281,229.0,274.0,275.0,298.0,False,MEDIUM,6.0,False,Red Bull Racing,5670.773,2023-10-08 17:35:30.778,1,1.0,False,,False,True
5847.333,VER,1,88.106,21.0,2.0,,,32.545,29.436,26.125,5791.826,5821.262,5847.387,233.0,277.0,276.0,299.0,False,MEDIUM,7.0,False,Red Bull Racing,5759.227,2023-10-08 17:36:59.232,1,1.0,False,,False,True
5935.357,VER,1,88.024,22.0,2.0,,,32.535,29.487,26.002,5879.922,5909.409,5935.411,230.0,280.0,276.0,302.0,False,MEDIUM,8.0,False,Red Bull Racing,5847.333,2023-10-08 17:38:27.338,1,1.0,False,,False,True
6023.248,VER,1,87.891,23.0,2.0,,,32.39,29.468,26.033,5967.801,5997.269,6023.302,233.0,280.0,276.0,,False,MEDIUM,9.0,False,Red Bull Racing,5935.357,2023-10-08 17:39:55.362,1,1.0,False,,False,True
6111.062,VER,1,87.814,24.0,2.0,,,32.439,29.413,25.962,6055.741,6085.154,6111.116,232.0,277.0,276.0,303.0,True,MEDIUM,10.0,False,Red Bull Racing,6023.248,2023-10-08 17:41:23.253,1,1.0,False,,False,True
