Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
23.484,17.0,66.0,966.5,False,26.3,83,2.5
83.452,17.0,65.0,966.5,False,26.5,269,1.3
143.467,17.0,66.0,966.5,False,26.6,81,1.2
203.467,17.0,66.0,966.5,False,26.6,92,0.6
263.466,17.0,65.0,966.4,False,27.1,215,1.2
323.45,17.1,65.0,966.4,False,27.0,133,1.5
383.464,17.1,65.0,966.4,False,27.0,108,2.0
443.464,17.1,64.0,966.4,False,27.3,158,1.8
503.479,17.1,64.0,966.5,False,27.1,1,1.3
563.478,17.2,63.0,966.5,False,27.1,127,0.8
623.493,17.2,63.0,966.5,False,27.2,86,1.7
683.524,17.3,62.0,966.5,False,27.9,111,1.1
743.507,17.3,63.0,966.5,False,28.0,100,1.0
803.538,17.4,63.0,966.5,False,28.0,42,2.5
863.522,17.4,63.0,966.5,False,27.5,146,2.2
923.552,17.5,63.0,966.5,False,27.4,135,2.0
983.551,17.4,63.0,966.5,False,27.4,71,1.8
1043.551,17.7,62.0,966.4,False,27.8,149,1.1
1103.55,17.7,61.0,966.5,False,27.8,228,2.0
1163.55,17.8,62.0,966.5,False,27.8,187,1.7
1223.549,17.8,62.0,966.5,False,27.6,264,0.8
1283.548,17.6,62.0,966.5,False,27.7,0,0.8
1343.547,17.6,63.0,966.5,False,28.0,193,0.5
1403.563,17.5,63.0,966.5,False,28.2,110,0.8
1463.546,17.5,63.0,966.5,False,28.3,134,1.6
1523.561,17.5,62.0,966.5,False,28.2,159,1.8
1583.576,17.5,62.0,966.5,False,27.7,14,2.0
1643.544,17.5,62.0,966.5,False,27.5,107,0.4
1703.543,17.4,63.0,966.5,False,27.4,35,0.8
1763.558,17.4,62.0,966.5,False,27.7,136,1.7
1823.558,17.5,63.0,966.7,False,28.0,89,2.0
1883.541,17.6,63.0,966.5,False,28.2,136,1.1
1943.572,17.7,62.0,966.5,False,28.2,110,2.0
2003.54,17.7,62.0,966.5,False,28.1,123,2.4
2063.539,17.7,63.0,966.5,False,27.7,115,1.7
2123.57,17.7,62.0,966.5,False,27.4,330,1.2
2183.554,17.7,63.0,966.5,False,27.2,83,0.6
2243.553,17.7,63.0,966.5,False,27.1,133,1.1
2303.552,17.7,63.0,966.5,False,27.1,48,1.2
2363.552,17.7,62.0,966.5,False,26.6,94,1.5
2423.567,17.7,62.0,966.7,False,26.6,94,1.0
2483.55,17.7,62.0,966.7,True,26.7,0,1.2
2543.565,17.7,62.0,966.5,False,26.7,127,0.8
2603.565,17.5,62.0,966.7,False,26.5,139,1.6
2663.564,17.5,63.0,966.7,False,26.5,135,1.5
2723.563,17.5,63.0,966.7,False,26.6,131,0.8
2783.594,17.5,63.0,966.7,False,26.6,200,2.7
2843.562,17.6,62.0,966.7,False,27.2,338,1.7
2903.561,17.6,63.0,966.7,False,27.5,161,0.8
2963.576,17.7,63.0,966.5,False,28.4,79,0.8
3023.576,17.8,62.0,966.7,False,28.5,106,1.7
3083.559,17.9,63.0,966.7,False,28.4,108,1.0
3143.559,17.9,62.0,966.5,False,28.6,118,1.5
3203.574,17.9,62.0,966.5,False,28.6,157,1.8
3263.604,18.0,61.0,966.5,False,28.3,149,2.0
3323.65,18.0,62.0,966.5,False,27.9,111,2.5
3383.618,18.0,62.0,966.5,False,27.9,209,1.7
3443.618,18.1,61.0,966.5,False,27.7,38,1.2
3503.617,18.0,61.0,966.5,False,27.4,109,1.1
3563.616,18.0,61.0,966.5,False,27.0,204,0.8
3623.631,18.0,61.0,966.7,False,27.0,131,0.8
3683.615,18.0,63.0,966.5,False,27.4,147,1.7
3743.614,18.1,59.0,966.5,False,29.7,141,4.5
3803.614,18.0,58.0,966.7,False,29.2,165,3.0
3863.613,18.0,59.0,966.7,False,28.6,150,2.7
3923.628,18.0,60.0,966.7,False,28.7,132,2.9
3983.643,18.0,58.0,966.7,False,29.0,23,0.8
4043.658,18.1,58.0,966.5,False,29.4,103,2.4
4103.673,18.1,58.0,966.5,False,30.1,306,2.0
4163.688,18.1,57.0,966.5,False,30.1,235,1.7
4223.687,18.1,57.0,966.5,False,30.4,126,2.0
4283.687,18.1,57.0,966.5,False,30.6,132,1.2
4343.702,18.1,57.0,966.5,False,31.4,95,1.5
4403.701,18.1,57.0,966.5,False,31.5,13,1.8
4463.7,18.1,57.0,966.5,False,31.5,110,0.8
4523.715,18.1,58.0,966.5,False,30.7,104,1.8
4583.699,18.1,58.0,966.5,False,30.6,112,1.2
4643.698,18.1,57.0,966.5,False,30.2,136,2.7
4703.698,18.1,57.0,966.7,False,30.1,311,2.2
4763.697,18.2,57.0,966.5,False,29.6,283,3.0
4823.712,18.2,58.0,966.7,False,29.6,168,1.7
4883.711,18.2,59.0,966.7,False,29.8,67,1.8
4943.726,18.3,58.0,966.7,False,29.9,266,1.2
5003.741,18.1,60.0,966.7,False,29.5,128,1.2
5063.756,18.2,60.0,966.7,False,29.2,159,2.5
5123.787,18.0,60.0,966.7,False,29.1,349,1.7
5183.755,18.1,60.0,966.7,False,28.8,21,1.1
5243.754,18.0,60.0,966.9,False,28.4,305,1.0
5303.785,17.9,61.0,966.7,False,28.4,61,0.8
5363.784,18.0,61.0,966.7,False,28.3,93,2.7
5423.783,18.0,61.0,966.7,False,28.3,111,1.5
5483.783,18.2,61.0,966.7,False,28.3,55,1.0
5543.798,18.3,61.0,966.7,False,28.8,113,1.2
5603.828,18.2,61.0,966.7,False,28.8,133,2.4
5663.812,18.3,61.0,966.7,False,28.7,39,2.9
5723.811,18.2,61.0,966.7,False,28.3,144,1.0
5783.811,18.1,61.0,966.7,False,28.2,144,3.0
5843.826,18.0,61.0,966.7,False,27.9,134,0.8
5903.825,17.9,62.0,966.7,False,27.8,144,1.2
5963.855,17.9,62.0,966.7,True,27.5,37,0.3
6023.855,17.7,63.0,966.7,True,27.4,117,1.0
6083.838,17.7,63.0,966.7,True,27.2,55,1.5
6143.838,17.6,63.0,966.9,True,27.2,111,1.5
6203.931,17.5,65.0,966.9,True,26.0,123,1.5
6263.852,17.4,65.0,967.0,True,25.6,179,1.7
6323.851,17.3,65.0,966.9,True,25.3,336,1.3
6383.851,17.1,66.0,967.0,True,25.1,84,1.7
6443.85,17.1,67.0,966.9,True,25.0,140,2.2
6503.849,17.0,68.0,966.9,True,25.0,128,1.7
6563.849,17.0,68.0,966.9,False,25.0,96,1.5
6623.848,16.9,69.0,966.9,False,25.0,103,1.1
6683.863,16.8,69.0,966.9,False,25.6,71,1.7
6743.847,16.9,67.0,966.9,False,25.9,107,1.0
6803.846,16.9,69.0,966.7,False,26.1,211,1.0
6863.877,17.0,69.0,966.7,False,26.9,106,0.8
6923.86,17.1,68.0,966.7,False,27.9,51,1.7
6983.844,17.3,66.0,966.7,False,27.9,78,1.6
7043.859,17.4,66.0,966.7,False,29.3,94,1.0
7103.874,17.6,66.0,966.7,False,29.5,171,1.8
7163.858,17.6,66.0,966.7,False,30.3,146,1.1
7223.857,17.7,65.0,966.7,False,30.6,164,1.6
7283.857,18.0,63.0,966.7,False,31.0,178,1.7
7343.856,18.1,62.0,966.7,False,31.0,135,2.4
7403.886,18.3,61.0,966.7,False,31.1,122,2.7
7463.87,18.4,61.0,966.7,False,31.0,355,2.0
7523.885,18.5,62.0,966.7,False,30.0,68,1.3
7583.869,18.5,61.0,966.7,False,29.7,37,1.3
7643.853,18.4,61.0,966.7,False,29.3,65,0.6
7703.868,18.4,60.0,966.9,False,29.3,79,0.8
7763.867,18.5,60.0,966.7,False,30.1,77,1.0
7823.882,18.8,59.0,966.7,False,30.7,43,1.7
7883.881,18.8,59.0,966.7,False,30.7,106,1.3
7943.881,18.9,59.0,966.7,False,30.0,25,1.2
8003.895,18.8,60.0,966.7,False,29.1,141,1.7
8063.879,18.8,60.0,966.7,False,29.1,203,2.0
8123.941,18.7,62.0,966.5,False,28.8,223,2.5
8183.909,18.8,62.0,966.5,False,28.8,94,1.7
8243.908,18.8,61.0,966.7,False,28.8,111,1.6
8303.923,18.9,62.0,966.7,False,29.0,149,1.5
8363.907,19.0,61.0,966.7,False,29.9,108,1.2
8423.922,19.0,60.0,966.7,False,30.0,89,1.5
8483.921,19.1,59.0,966.5,False,29.7,155,1.5
8543.905,19.2,59.0,966.7,False,29.3,119,2.2
8603.92,19.1,60.0,966.7,False,28.9,110,1.2
8663.919,18.8,61.0,966.7,False,28.4,156,1.2
8723.919,18.9,61.0,966.7,False,28.4,186,3.2
8783.918,18.7,61.0,966.7,False,28.3,133,2.0
8843.917,18.7,61.0,966.7,False,28.0,104,3.5
8903.917,18.5,59.0,966.7,False,27.9,191,3.5
8963.916,18.5,61.0,966.7,False,27.7,0,2.0
