Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
3812.264,VER,1,87.912,1.0,1.0,,,,30.37,23.495,,3788.823,3812.354,274.0,235.0,244.0,243.0,False,MEDIUM,4.0,False,Red Bull Racing,3724.106,2023-07-23 13:03:06.134,12,1.0,False,,False,False
3897.421,VER,1,85.157,2.0,1.0,,,30.527,30.848,23.782,3842.817,3873.665,3897.447,272.0,229.0,244.0,285.0,True,MEDIUM,5.0,False,Red Bull Racing,3812.264,2023-07-23 13:04:34.292,1,1.0,False,,False,True
3982.491,VER,1,85.07,3.0,1.0,,,30.491,30.724,23.855,3927.938,3958.662,3982.517,269.0,230.0,242.0,287.0,True,MEDIUM,6.0,False,Red Bull Racing,3897.421,2023-07-23 13:05:59.449,1,1.0,False,,False,True
4067.033,VER,1,84.542,4.0,1.0,,,30.403,30.495,23.644,4012.92,4043.415,4067.059,273.0,232.0,243.0,,True,MEDIUM,7.0,False,Red Bull Racing,3982.491,2023-07-23 13:07:24.519,1,1.0,False,,False,True
4151.876,VER,1,84.843,5.0,1.0,,,30.395,30.707,23.741,4097.454,4128.161,4151.902,272.0,231.0,242.0,286.0,False,MEDIUM,8.0,False,Red Bull Racing,4067.033,2023-07-23 13:08:49.061,1,1.0,False,,False,True
4236.472,VER,1,84.596,6.0,1.0,,,30.248,30.586,23.762,4182.15,4212.736,4236.498,276.0,227.0,243.0,284.0,False,MEDIUM,9.0,False,Red Bull Racing,4151.876,2023-07-23 13:10:13.904,1,1.0,False,,False,True
4320.959,VER,1,84.487,7.0,1.0,,,30.235,30.487,23.765,4266.733,4297.22,4320.985,,230.0,243.0,,True,MEDIUM,10.0,False,Red Bull Racing,4236.472,2023-07-23 13:11:38.500,1,1.0,False,,False,True
4405.468,VER,1,84.509,8.0,1.0,,,30.362,30.468,23.679,4351.347,4381.815,4405.494,277.0,230.0,241.0,286.0,False,MEDIUM,11.0,False,Red Bull Racing,4320.959,2023-07-23 13:13:02.987,1,1.0,False,,False,True
4489.905,VER,1,84.437,9.0,1.0,,,30.271,30.533,23.633,4435.765,4466.298,4489.931,,231.0,242.0,,True,MEDIUM,12.0,False,Red Bull Racing,4405.468,2023-07-23 13:14:27.496,1,1.0,False,,False,True
4574.31,VER,1,84.405,10.0,1.0,,,30.29,30.405,23.71,4520.221,4550.626,4574.336,,230.0,244.0,285.0,True,MEDIUM,13.0,False,Red Bull Racing,4489.905,2023-07-23 13:15:51.933,1,1.0,False,,False,True
4658.772,VER,1,84.462,11.0,1.0,,,30.318,30.352,23.792,4604.654,4635.006,4658.798,278.0,232.0,241.0,284.0,False,MEDIUM,14.0,False,Red Bull Racing,4574.31,2023-07-23 13:17:16.338,1,1.0,False,,False,True
4743.078,VER,1,84.306,12.0,1.0,,,30.274,30.285,23.747,4689.072,4719.357,4743.104,277.0,232.0,242.0,285.0,True,MEDIUM,15.0,False,Red Bull Racing,4658.772,2023-07-23 13:18:40.800,1,1.0,False,,False,True
4827.433,VER,1,84.355,13.0,1.0,,,30.336,30.307,23.712,4773.44,4803.747,4827.459,,234.0,243.0,284.0,False,MEDIUM,16.0,False,Red Bull Racing,4743.078,2023-07-23 13:20:05.106,1,1.0,False,,False,True
4911.634,VER,1,84.201,14.0,1.0,,,30.251,30.2,23.75,4857.71,4887.91,4911.66,276.0,235.0,242.0,285.0,True,MEDIUM,17.0,False,Red Bull Racing,4827.433,2023-07-23 13:21:29.461,1,1.0,False,,False,True
4995.755,VER,1,84.121,15.0,1.0,,,30.331,30.156,23.634,4941.991,4972.147,4995.781,277.0,237.0,244.0,284.0,True,MEDIUM,18.0,False,Red Bull Racing,4911.634,2023-07-23 13:22:53.662,1,1.0,False,,False,True
5080.128,VER,1,84.373,16.0,1.0,,,30.364,30.315,23.694,5026.145,5056.46,5080.154,,234.0,243.0,288.0,False,MEDIUM,19.0,False,Red Bull Racing,4995.755,2023-07-23 13:24:17.783,1,1.0,False,,False,True
5164.342,VER,1,84.214,17.0,1.0,,,30.292,30.21,23.712,5110.446,5140.656,5164.368,,235.0,242.0,285.0,False,MEDIUM,20.0,False,Red Bull Racing,5080.128,2023-07-23 13:25:42.156,1,1.0,False,,False,True
5248.537,VER,1,84.195,18.0,1.0,,,30.357,30.206,23.632,5194.725,5224.931,5248.563,276.0,235.0,242.0,,False,MEDIUM,21.0,False,Red Bull Racing,5164.342,2023-07-23 13:27:06.370,1,1.0,False,,False,True
5332.933,VER,1,84.396,19.0,1.0,,,30.324,30.217,23.855,5278.887,5309.104,5332.959,278.0,235.0,243.0,,False,MEDIUM,22.0,False,Red Bull Racing,5248.537,2023-07-23 13:28:30.565,1,1.0,False,,False,True
5416.998,VER,1,84.065,20.0,1.0,,,30.213,30.134,23.718,5363.172,5393.306,5417.024,,235.0,243.0,286.0,True,MEDIUM,23.0,False,Red Bull Racing,5332.933,2023-07-23 13:29:54.961,1,1.0,False,,False,True
5501.01,VER,1,84.012,21.0,1.0,,,30.306,30.065,23.641,5447.33,5477.395,5501.036,277.0,237.0,243.0,287.0,True,MEDIUM,24.0,False,Red Bull Racing,5416.998,2023-07-23 13:31:19.026,1,1.0,False,,False,True
5585.37,VER,1,84.36,22.0,1.0,,,30.326,30.345,23.689,5531.362,5561.707,5585.396,,234.0,243.0,286.0,False,MEDIUM,25.0,False,Red Bull Racing,5501.01,2023-07-23 13:32:43.038,1,1.0,False,,False,True
5672.521,VER,1,87.151,23.0,1.0,,5670.758,30.367,30.662,26.122,5615.763,5646.425,5672.547,278.0,237.0,,287.0,False,MEDIUM,26.0,False,Red Bull Racing,5585.37,2023-07-23 13:34:07.398,1,1.0,False,,False,False
5774.528,VER,1,102.007,24.0,2.0,5692.164,,48.429,30.204,23.374,5720.976,5751.18,5774.554,266.0,235.0,245.0,,False,HARD,1.0,True,Red Bull Racing,5672.521,2023-07-23 13:35:34.549,1,1.0,False,,False,False
5858.305,VER,1,83.777,25.0,2.0,,,30.109,30.145,23.523,5804.663,5834.808,5858.331,271.0,235.0,245.0,286.0,True,HARD,2.0,True,Red Bull Racing,5774.528,2023-07-23 13:37:16.556,1,1.0,False,,False,True
5942.022,VER,1,83.717,26.0,2.0,,,30.176,30.036,23.505,5888.507,5918.543,5942.048,278.0,236.0,243.0,287.0,True,HARD,3.0,True,Red Bull Racing,5858.305,2023-07-23 13:38:40.333,1,1.0,False,,False,True
6025.658,VER,1,83.636,27.0,2.0,,,30.286,29.961,23.389,5972.334,6002.295,6025.684,279.0,237.0,245.0,286.0,True,HARD,4.0,True,Red Bull Racing,5942.022,2023-07-23 13:40:04.050,1,1.0,False,,False,True
6109.345,VER,1,83.687,28.0,2.0,,,30.161,30.061,23.465,6055.845,6085.906,6109.371,278.0,236.0,246.0,288.0,False,HARD,5.0,True,Red Bull Racing,6025.658,2023-07-23 13:41:27.686,1,1.0,False,,False,True
6193.107,VER,1,83.762,29.0,2.0,,,30.21,30.048,23.504,6139.581,6169.629,6193.133,279.0,236.0,246.0,289.0,False,HARD,6.0,True,Red Bull Racing,6109.345,2023-07-23 13:42:51.373,1,1.0,False,,False,True
6276.731,VER,1,83.624,30.0,2.0,,,30.068,30.108,23.448,6223.201,6253.309,6276.757,277.0,236.0,246.0,290.0,True,HARD,7.0,True,Red Bull Racing,6193.107,2023-07-23 13:44:15.135,1,1.0,False,,False,True
6360.321,VER,1,83.59,31.0,2.0,,,30.35,29.744,23.496,6307.107,6336.851,6360.347,279.0,240.0,246.0,289.0,True,HARD,8.0,True,Red Bull Racing,6276.731,2023-07-23 13:45:38.759,1,1.0,False,,False,True
6443.613,VER,1,83.292,32.0,2.0,,,30.19,29.706,23.396,6390.537,6420.243,6443.639,281.0,238.0,247.0,,True,HARD,9.0,True,Red Bull Racing,6360.321,2023-07-23 13:47:02.349,1,1.0,False,,False,True
6527.136,VER,1,83.523,33.0,2.0,,,30.208,29.828,23.487,6473.847,6503.675,6527.162,,238.0,247.0,,False,HARD,10.0,True,Red Bull Racing,6443.613,2023-07-23 13:48:25.641,1,1.0,False,,False,True
6610.643,VER,1,83.507,34.0,2.0,,,30.07,29.794,23.643,6557.232,6587.026,6610.669,282.0,240.0,247.0,,False,HARD,11.0,True,Red Bull Racing,6527.136,2023-07-23 13:49:49.164,1,1.0,False,,False,True
