Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
2664.903,VER,1,104.415,1.0,1.0,,,,29.745,43.526,,2621.462,2665.051,106.0,277.0,288.0,314.0,False,MEDIUM,1.0,True,Red Bull Racing,2560.279,2022-07-24 13:03:40.570,12,2.0,False,,False,False
2763.233,VER,1,98.33,2.0,1.0,,,25.101,29.683,43.546,2690.08,2719.763,2763.309,109.0,276.0,288.0,312.0,True,MEDIUM,2.0,True,Red Bull Racing,2664.903,2022-07-24 13:05:25.194,1,2.0,False,,False,True
2861.35,VER,1,98.117,3.0,1.0,,,24.93,29.604,43.583,2788.239,2817.843,2861.426,107.0,277.0,298.0,331.0,True,MEDIUM,3.0,True,Red Bull Racing,2763.233,2022-07-24 13:07:03.524,1,2.0,False,,False,True
2959.74,VER,1,98.39,4.0,1.0,,,25.088,29.607,43.695,2886.514,2916.121,2959.816,105.0,277.0,289.0,329.0,False,MEDIUM,4.0,True,Red Bull Racing,2861.35,2022-07-24 13:08:41.641,1,2.0,False,,False,True
3058.46,VER,1,98.72,5.0,1.0,,,25.082,29.713,43.925,2984.898,3014.611,3058.536,107.0,276.0,298.0,334.0,False,MEDIUM,5.0,True,Red Bull Racing,2959.74,2022-07-24 13:10:20.031,1,2.0,False,,False,True
3157.094,VER,1,98.634,6.0,1.0,,,25.036,29.828,43.77,3083.572,3113.4,3157.17,106.0,278.0,298.0,333.0,False,MEDIUM,6.0,True,Red Bull Racing,3058.46,2022-07-24 13:11:58.751,1,2.0,False,,False,True
3256.313,VER,1,99.219,7.0,1.0,,,25.215,30.021,43.983,3182.385,3212.406,3256.389,,277.0,299.0,337.0,False,MEDIUM,7.0,True,Red Bull Racing,3157.094,2022-07-24 13:13:37.385,1,2.0,False,,False,True
3355.472,VER,1,99.159,8.0,1.0,,,25.264,29.965,43.93,3281.653,3311.618,3355.548,109.0,278.0,299.0,334.0,False,MEDIUM,8.0,True,Red Bull Racing,3256.313,2022-07-24 13:15:16.604,1,2.0,False,,False,True
3454.602,VER,1,99.13,9.0,1.0,,,25.135,29.977,44.018,3380.683,3410.66,3454.678,,278.0,299.0,329.0,False,MEDIUM,9.0,True,Red Bull Racing,3355.472,2022-07-24 13:16:55.763,1,2.0,True,TRACK LIMITS AT TURN 6 LAP 9 ,False,True
3553.645,VER,1,99.043,10.0,1.0,,,25.203,30.111,43.729,3479.881,3509.992,3553.721,106.0,277.0,299.0,326.0,False,MEDIUM,10.0,True,Red Bull Racing,3454.602,2022-07-24 13:18:34.893,1,2.0,False,,False,True
