Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
13.023,36.3,8.0,996.9,False,48.3,196,3.2
73.014,36.2,8.0,996.9,False,48.4,190,3.5
133.011,36.1,8.0,996.7,False,48.6,170,3.5
193.038,36.1,7.0,996.7,False,48.8,155,4.0
253.041,36.1,7.0,996.7,False,48.8,183,5.5
313.04,36.1,7.0,996.7,False,48.4,182,5.5
373.053,36.0,7.0,996.7,False,48.3,164,5.0
433.053,36.1,8.0,996.9,False,48.3,170,4.4
493.054,36.1,7.0,996.7,False,48.3,191,3.5
553.07,36.1,8.0,996.7,False,48.4,195,4.6
613.084,36.3,8.0,996.9,False,48.4,189,4.8
673.105,36.2,8.0,996.7,False,48.4,192,4.8
733.126,36.0,8.0,996.7,False,48.3,190,4.8
793.121,35.9,8.0,996.7,False,48.4,182,4.5
853.13,36.0,8.0,996.7,False,48.5,178,3.9
913.137,36.0,8.0,996.7,False,48.5,187,4.0
973.128,36.0,9.0,996.7,False,48.5,200,1.5
1033.138,36.1,9.0,996.7,False,48.8,207,3.2
1093.128,36.2,8.0,996.5,False,48.8,190,4.0
1153.128,36.3,8.0,996.7,False,48.8,186,4.8
1213.138,36.3,8.0,996.7,False,48.7,191,4.0
1273.121,36.2,8.0,996.7,False,48.7,192,4.0
1333.134,36.2,8.0,996.5,False,48.7,178,3.2
1393.141,36.4,7.0,996.7,False,48.8,194,5.0
1453.138,36.4,7.0,996.7,False,48.7,189,4.0
1513.131,36.3,7.0,996.7,False,48.8,195,4.6
1573.496,36.2,8.0,996.7,False,48.8,195,3.0
1633.131,36.3,8.0,996.5,False,48.7,195,4.0
1693.13,36.3,8.0,996.5,False,48.7,187,4.0
1753.131,36.3,8.0,996.5,False,48.7,209,3.0
1813.13,36.2,7.0,996.5,False,48.9,190,3.7
1873.135,36.4,8.0,996.5,False,48.9,180,2.7
1933.149,36.3,7.0,996.5,False,48.9,171,4.9
1993.136,36.2,7.0,996.5,False,48.8,168,3.0
2053.131,36.3,7.0,996.5,False,48.7,161,5.0
2113.134,36.2,7.0,996.5,False,48.6,186,5.0
2173.129,36.1,7.0,996.5,False,48.6,180,4.8
2233.131,36.1,7.0,996.5,False,48.7,198,4.6
2293.137,36.0,7.0,996.5,False,48.8,194,3.0
2353.131,36.1,7.0,996.5,False,49.0,180,2.7
2413.142,36.1,7.0,996.4,False,49.1,183,4.3
2473.13,36.2,7.0,996.5,False,49.2,182,5.0
2533.136,36.2,7.0,996.5,False,49.1,167,5.0
2593.129,36.3,7.0,996.5,False,48.9,213,2.5
2653.128,36.3,7.0,996.5,False,49.1,181,3.0
2713.132,36.3,7.0,996.2,False,49.0,157,4.5
2773.13,36.3,7.0,996.4,False,49.1,193,4.5
2833.129,36.4,7.0,996.4,False,49.1,197,4.9
2893.521,36.4,7.0,996.4,False,49.1,184,4.5
2953.131,36.2,7.0,996.4,False,49.1,182,3.9
3013.133,36.2,7.0,996.4,False,49.1,185,4.0
3073.131,36.1,6.0,996.4,False,49.1,191,4.8
3133.137,36.2,7.0,996.5,False,49.1,180,4.4
3193.134,36.2,7.0,996.2,False,49.1,174,4.0
3253.13,36.2,6.0,996.5,False,49.2,184,3.5
3313.137,36.2,7.0,996.2,False,49.1,186,4.6
3373.128,36.3,7.0,996.2,False,49.2,196,4.8
3433.13,36.3,7.0,996.4,False,49.2,180,4.0
3493.138,36.4,7.0,996.2,False,49.3,187,3.0
3553.129,36.4,7.0,996.2,False,49.3,175,4.5
3613.129,36.4,7.0,996.0,False,49.3,182,3.0
3673.129,36.5,7.0,996.2,False,49.3,174,3.4
3733.136,36.6,7.0,996.2,False,49.3,163,3.2
3793.132,36.6,6.0,996.2,False,49.3,170,4.0
3853.131,36.7,7.0,996.2,False,49.4,174,2.7
3913.14,36.7,7.0,996.2,False,49.4,178,2.9
3973.134,36.9,6.0,996.2,False,49.4,194,3.5
4033.133,36.9,6.0,996.0,False,49.4,177,4.4
4093.134,37.0,6.0,996.2,False,49.5,187,3.2
4153.132,37.0,6.0,996.0,False,49.3,178,3.7
4213.132,37.0,6.0,996.0,False,49.3,172,2.9
4273.131,36.9,6.0,996.2,False,49.5,113,3.5
4333.131,36.8,6.0,996.0,False,49.5,190,2.4
4393.124,37.0,6.0,996.2,False,49.5,167,3.2
4453.132,37.0,6.0,996.2,False,49.5,180,3.2
4513.131,36.9,6.0,996.2,False,49.3,195,3.7
4573.13,37.0,6.0,996.0,False,49.6,181,2.5
4633.134,37.0,6.0,996.0,False,49.7,185,4.3
4693.13,36.9,6.0,996.0,False,49.7,182,4.0
4753.129,37.0,6.0,996.2,False,49.7,191,4.4
4813.132,37.0,6.0,996.0,False,49.7,196,3.2
4873.131,37.0,6.0,996.0,False,49.7,189,3.2
4933.136,36.9,6.0,996.0,False,49.7,184,3.9
4993.137,36.8,6.0,995.9,False,49.7,179,3.5
5053.133,36.8,5.0,995.9,False,49.7,188,4.5
5113.133,36.7,6.0,996.0,False,49.7,195,4.5
5173.143,36.6,6.0,996.0,False,49.7,193,3.2
5233.134,36.7,6.0,996.0,False,49.7,168,2.5
5293.136,36.9,6.0,996.0,False,49.7,184,3.2
5353.135,37.2,5.0,995.7,False,49.7,172,3.5
5413.155,37.1,5.0,996.0,False,49.7,164,3.4
5473.151,37.1,6.0,996.0,False,49.7,190,2.5
5533.152,37.1,5.0,995.9,False,49.7,193,3.9
5593.168,37.0,6.0,996.0,False,49.0,189,3.5
5653.183,37.1,6.0,995.9,False,49.0,159,2.5
5713.201,37.0,6.0,995.7,False,49.0,190,2.5
5773.213,37.1,6.0,995.9,False,49.5,126,2.0
5833.227,37.1,6.0,995.9,False,49.4,171,4.3
5893.227,37.0,6.0,995.7,False,49.4,176,2.7
5953.228,37.0,6.0,995.7,False,49.4,139,2.5
6013.226,37.0,6.0,995.7,False,49.4,161,2.2
6073.238,37.0,7.0,995.7,False,49.4,192,1.0
6133.251,37.0,7.0,995.9,False,49.4,173,2.2
6193.226,37.0,6.0,995.9,False,49.4,180,3.4
6253.227,37.0,7.0,995.7,False,49.4,151,3.5
6313.243,37.2,7.0,995.7,False,49.3,174,3.7
6373.259,37.2,6.0,995.7,False,49.3,180,4.3
6433.242,37.2,6.0,995.7,False,49.3,180,4.3
6493.257,37.2,6.0,995.7,False,49.3,201,3.5
6553.258,37.1,6.0,995.9,False,49.5,190,2.2
6613.258,37.1,6.0,995.9,False,49.5,195,4.6
6673.263,37.0,6.0,995.9,False,49.5,191,3.7
6733.258,36.7,6.0,995.9,False,49.3,192,4.5
6793.262,36.7,7.0,995.7,False,49.2,180,2.9
6853.258,36.7,7.0,995.7,False,49.1,165,3.2
6913.279,36.6,7.0,995.7,False,49.1,169,3.0
6973.262,36.6,7.0,995.7,False,49.0,151,3.0
7033.261,36.6,7.0,995.7,False,49.0,173,2.7
7093.263,36.8,7.0,995.7,False,49.3,174,3.5
7153.258,36.9,7.0,995.5,False,49.1,193,3.7
7213.259,36.7,7.0,995.7,False,49.1,155,3.7
7273.26,36.8,8.0,995.5,False,49.1,154,2.0
7333.259,36.8,8.0,995.7,False,49.0,155,3.2
7393.289,36.6,8.0,995.7,False,49.0,175,3.5
7453.275,36.6,7.0,995.7,False,49.0,172,3.7
7513.281,36.6,7.0,995.5,False,49.0,185,3.0
7573.284,36.6,8.0,995.5,False,48.7,192,2.5
7633.298,36.6,8.0,995.5,False,48.9,175,3.2
7693.333,36.6,8.0,995.5,False,49.1,185,2.4
7753.309,36.7,8.0,995.5,False,49.1,168,3.0
7813.307,36.8,8.0,995.5,False,49.1,170,3.0
7873.321,36.8,7.0,995.5,False,49.0,191,2.9
7933.32,36.8,7.0,995.5,False,49.0,147,2.7
7993.34,36.6,7.0,995.5,False,49.0,185,2.0
8053.398,36.6,8.0,995.5,False,49.0,200,1.7
8113.366,36.5,8.0,995.5,False,49.0,155,1.3
8173.354,36.8,8.0,995.5,False,48.8,152,2.2
8233.353,36.9,7.0,995.4,False,48.8,164,3.2
8293.355,36.9,7.0,995.5,False,48.8,164,3.4
8353.35,36.9,7.0,995.4,False,48.9,166,2.7
8413.368,36.9,7.0,995.5,False,48.9,172,3.7
8473.378,36.7,7.0,995.4,False,48.8,168,2.7
8533.388,36.6,8.0,995.4,False,48.5,137,2.0
8593.396,36.6,8.0,995.4,False,48.4,194,2.2
8653.39,36.5,9.0,995.4,False,48.3,109,2.5
8713.386,36.5,9.0,995.4,False,48.3,176,2.2
8773.386,36.4,8.0,995.2,False,48.4,192,2.0
8833.386,36.3,8.0,995.5,False,48.4,191,3.5
8893.386,36.3,7.0,995.4,False,48.4,194,5.5
8953.386,36.3,8.0,995.2,False,48.3,187,4.5
9013.401,36.3,9.0,995.4,False,48.3,161,2.7
9073.427,36.4,9.0,995.2,False,48.2,162,2.7
9133.418,36.4,11.0,995.2,False,48.1,119,2.4
9193.416,36.5,9.0,995.2,False,47.9,173,3.2
9253.418,36.5,9.0,995.4,False,48.0,145,4.5
9313.415,36.5,8.0,995.2,False,48.0,179,4.3
9373.431,36.4,8.0,995.4,False,48.0,156,3.2
9433.433,36.5,8.0,995.2,False,47.9,168,2.7
9493.432,36.4,7.0,995.2,False,48.1,162,4.3
9553.439,36.4,7.0,995.2,False,48.1,169,4.1
9613.438,36.4,8.0,995.2,False,47.8,189,3.5
9673.44,36.6,8.0,995.2,False,47.8,69,2.2
9733.432,36.7,9.0,995.2,False,47.9,118,1.6
9793.464,36.7,11.0,995.2,False,47.6,150,1.5
