Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
9.022,22.8,41.0,781.7,False,44.1,229,1.7
69.02,22.8,42.0,781.7,False,43.9,112,0.8
129.034,22.9,40.0,781.7,False,44.0,108,1.3
189.024,23.1,40.0,781.7,False,45.2,95,1.7
249.022,23.3,40.0,781.7,False,45.2,116,0.8
309.023,23.4,40.0,781.7,False,45.6,117,0.6
369.02,23.6,40.0,781.7,False,45.8,198,0.8
429.019,23.8,40.0,781.7,False,46.1,123,1.5
489.026,23.9,39.0,781.7,False,46.9,173,1.3
549.018,23.8,39.0,781.7,False,47.1,193,0.4
609.019,23.8,38.0,781.5,False,47.3,200,0.4
669.019,24.0,38.0,781.5,False,47.6,126,1.2
729.032,24.0,39.0,781.5,False,47.9,74,3.2
789.036,23.8,38.0,781.5,False,48.6,163,2.0
849.077,24.0,38.0,781.5,False,48.6,128,1.5
909.082,24.0,37.0,781.5,False,48.6,251,1.5
969.071,24.0,38.0,781.5,False,48.5,126,1.3
1029.069,24.1,38.0,781.5,False,48.1,123,4.0
1089.088,24.0,38.0,781.4,False,48.5,147,3.2
1149.099,24.1,39.0,781.5,False,48.5,115,2.0
1209.116,24.0,38.0,781.4,False,49.2,114,2.9
1269.115,24.1,38.0,781.4,False,49.2,132,4.0
1329.116,24.0,38.0,781.4,False,49.0,106,2.5
1389.115,24.0,38.0,781.4,False,48.1,116,2.7
1449.13,24.0,37.0,781.4,False,47.3,205,2.0
1509.13,24.0,38.0,781.2,False,46.5,113,1.2
1569.13,23.9,38.0,781.2,False,46.3,89,2.0
1629.13,24.0,37.0,781.2,False,44.9,130,2.2
1689.149,23.9,37.0,781.2,False,44.9,133,1.2
1749.155,23.8,38.0,781.2,False,45.1,139,1.8
1809.152,23.8,38.0,781.2,False,45.5,103,1.2
1869.148,23.9,37.0,781.2,False,45.5,242,1.1
1929.149,23.9,36.0,781.2,False,45.5,275,1.1
1989.148,23.9,35.0,781.0,False,44.9,259,1.2
2049.152,23.9,36.0,781.2,False,42.5,291,1.2
2109.149,23.7,36.0,781.2,False,42.2,170,1.2
2169.148,23.7,36.0,781.0,False,42.2,116,1.0
2229.147,23.7,36.0,781.0,False,41.8,129,2.7
2289.147,23.7,36.0,781.0,False,41.8,129,2.7
2349.153,23.6,37.0,781.0,False,43.2,82,2.4
2409.149,23.6,37.0,781.0,False,43.4,107,1.2
2469.15,23.6,37.0,781.0,False,42.8,93,3.0
2529.149,23.8,38.0,781.0,False,41.4,125,1.8
2589.156,23.9,38.0,780.9,False,41.1,113,1.5
2649.149,24.0,37.0,780.9,False,41.1,85,2.2
2709.149,24.0,38.0,780.7,False,40.5,109,1.7
2769.157,24.0,37.0,780.7,False,40.1,130,1.0
2829.148,24.1,37.0,780.9,False,41.1,164,0.6
2889.155,24.1,37.0,780.7,False,42.7,148,1.2
2949.149,24.1,37.0,780.7,False,43.4,75,1.0
3009.179,24.3,36.0,780.7,False,44.5,65,1.6
3069.149,24.5,35.0,780.7,False,44.7,109,1.7
3129.149,24.7,35.0,780.7,False,45.3,84,1.5
3189.15,24.6,35.0,780.7,False,45.5,265,1.1
3249.157,24.7,36.0,780.5,False,45.4,337,0.8
3309.148,24.5,36.0,780.5,False,45.6,329,1.2
3369.151,24.5,36.0,780.5,False,45.8,29,0.8
3429.156,24.6,36.0,780.5,False,46.1,0,0.8
3489.157,24.7,35.0,780.5,False,46.1,0,0.0
